label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,840947.0,238.3,344.8,60870,19522,976035034,4689495365,0.0013
master,master,30,0,2,840477.7,238.0,344.6,67286,22313,981099505,4706268752,0.0014
master,master,30,0,3,840333.4,238.3,342.4,59596,19666,975691972,4669267987,0.0013
N0,0,30,0,1,1109114.9,173.0,293.5,250169,66789,1414339340,5583594675,0.0045
N0,0,30,0,2,1107683.8,176.0,294.8,229968,61890,1412379065,5574532984,0.0041
N0,0,30,0,3,1108185.7,174.0,296.3,240223,64895,1415853150,5586294490,0.0043
N25,25,30,750,1,1321535.0,128.5,225.8,415636,101536,1438452574,5706329879,0.0073
N25,25,30,750,2,1320773.4,128.8,228.1,403476,97276,1441516278,5690261598,0.0071
N25,25,30,750,3,1320872.6,128.7,219.0,406563,99431,1444007340,5700269818,0.0071
N50,50,30,1500,1,1355107.6,126.2,229.4,437244,107761,1386392573,5601628080,0.0078
N50,50,30,1500,2,1355914.1,126.5,240.8,428031,109267,1383637021,5549012727,0.0077
N50,50,30,1500,3,1352630.9,125.9,216.0,420565,105695,1383406435,5620032435,0.0075
N100,100,30,3000,1,1370278.8,123.3,187.1,388356,96113,1300855425,5284355522,0.0073
N100,100,30,3000,2,1372433.0,123.8,187.9,398867,99190,1293129479,5193044390,0.0077
N100,100,30,3000,3,1372682.2,123.2,187.0,391449,97108,1295674497,5244116351,0.0075
N200,200,30,6000,1,1253311.6,138.4,225.4,309720,80883,1099375160,4325764625,0.0072
N200,200,30,6000,2,1255468.2,138.8,224.5,320681,81841,1092526590,4294364665,0.0075
N200,200,30,6000,3,1254138.7,138.8,221.0,318600,80695,1095074220,4345099813,0.0073
