label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,1006805.7,175.3,198.6,495528,1800,157007190,874193232,0.0567
master,master,30,0,2,1006783.7,175.1,198.6,620852,2023,156425672,872091723,0.0712
master,master,30,0,3,1007081.2,175.2,198.9,691508,2340,156432149,873659512,0.0792
N0,0,30,0,1,1236537.4,141.6,166.2,775925,2801,225957125,1096180952,0.0708
N0,0,30,0,2,1234465.6,141.7,166.3,999998,3746,226996215,1098286085,0.0911
N0,0,30,0,3,1235936.9,141.7,166.7,1438737,5341,226655181,1094765519,0.1314
N25,25,30,750,1,1248057.7,141.7,168.9,1253718,3634,192361450,1037373329,0.1209
N25,25,30,750,2,1248356.8,141.6,169.0,1455931,4469,191577524,1038504313,0.1402
N25,25,30,750,3,1247135.3,141.9,169.4,1782875,5395,191620745,1041942245,0.1711
N50,50,30,1500,1,1236966.2,143.7,181.3,1169283,3607,170176385,942082044,0.1241
N50,50,30,1500,2,1239025.0,143.3,180.8,1339565,4628,169868785,937934244,0.1428
N50,50,30,1500,3,1238891.4,143.4,181.9,1916548,6255,168522887,936554726,0.2046
N100,100,30,3000,1,1203210.1,148.9,217.3,1634663,4687,149949555,834914132,0.1958
N100,100,30,3000,2,1204425.1,148.2,217.2,2716929,11052,149134862,842668190,0.3224
N100,100,30,3000,3,1204728.9,148.8,217.3,2096553,6850,149695163,842961277,0.2487
N200,200,30,6000,1,1097134.5,167.1,296.9,1670163,5687,125770527,715680084,0.2334
N200,200,30,6000,2,1099232.3,166.8,296.3,2617669,10111,126165165,715710524,0.3657
N200,200,30,6000,3,1097897.7,167.2,297.0,2427753,8701,125710094,712761844,0.3406
