label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,955136.4,195.8,225.3,N/A,N/A,N/A,N/A,N/A
master,master,30,0,2,954984.4,195.8,225.3,N/A,N/A,N/A,N/A,N/A
master,master,30,0,3,953925.4,196.3,225.7,N/A,N/A,N/A,N/A,N/A
master,master,30,0,4,954218.3,196.1,225.4,N/A,N/A,N/A,N/A,N/A
master,master,30,0,5,954140.2,196.1,225.4,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,1,1130301.5,158.6,184.3,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,2,1129565.8,159.0,184.6,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,3,1129697.1,159.0,184.5,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,4,1129826.1,158.1,184.2,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,5,1129766.2,159.1,184.5,N/A,N/A,N/A,N/A,N/A
N1,1,30,30,1,1115585.1,146.9,171.1,N/A,N/A,N/A,N/A,N/A
N1,1,30,30,2,1116388.8,146.9,171.2,N/A,N/A,N/A,N/A,N/A
N1,1,30,30,3,1117997.4,146.5,171.1,N/A,N/A,N/A,N/A,N/A
N1,1,30,30,4,1116812.5,147.1,171.2,N/A,N/A,N/A,N/A,N/A
N1,1,30,30,5,1116659.8,146.9,171.2,N/A,N/A,N/A,N/A,N/A
N2,2,30,60,1,1177692.2,135.0,163.5,N/A,N/A,N/A,N/A,N/A
N2,2,30,60,2,1177355.3,135.0,163.1,N/A,N/A,N/A,N/A,N/A
N2,2,30,60,3,1176842.5,135.4,163.7,N/A,N/A,N/A,N/A,N/A
N2,2,30,60,4,1176654.1,134.7,162.5,N/A,N/A,N/A,N/A,N/A
N2,2,30,60,5,1177177.8,135.1,163.5,N/A,N/A,N/A,N/A,N/A
N3,3,30,90,1,1190035.1,132.3,161.3,N/A,N/A,N/A,N/A,N/A
N3,3,30,90,2,1189043.0,132.1,160.3,N/A,N/A,N/A,N/A,N/A
N3,3,30,90,3,1190932.2,131.5,159.9,N/A,N/A,N/A,N/A,N/A
N3,3,30,90,4,1193382.4,130.0,157.6,N/A,N/A,N/A,N/A,N/A
N3,3,30,90,5,1194878.9,130.9,160.1,N/A,N/A,N/A,N/A,N/A
N4,4,30,120,1,1237534.2,127.8,151.5,N/A,N/A,N/A,N/A,N/A
N4,4,30,120,2,1238108.3,127.8,151.6,N/A,N/A,N/A,N/A,N/A
N4,4,30,120,3,1238162.7,127.6,149.5,N/A,N/A,N/A,N/A,N/A
N4,4,30,120,4,1238599.0,127.8,151.1,N/A,N/A,N/A,N/A,N/A
N4,4,30,120,5,1237383.3,127.8,151.4,N/A,N/A,N/A,N/A,N/A
N5,5,30,150,1,1248887.7,126.7,148.8,N/A,N/A,N/A,N/A,N/A
N5,5,30,150,2,1248225.3,126.7,149.8,N/A,N/A,N/A,N/A,N/A
N5,5,30,150,3,1248601.5,126.6,149.6,N/A,N/A,N/A,N/A,N/A
N5,5,30,150,4,1247744.6,126.7,150.0,N/A,N/A,N/A,N/A,N/A
N5,5,30,150,5,1249575.4,126.5,148.2,N/A,N/A,N/A,N/A,N/A
N6,6,30,180,1,1255083.6,125.6,145.8,N/A,N/A,N/A,N/A,N/A
N6,6,30,180,2,1256530.1,125.7,147.3,N/A,N/A,N/A,N/A,N/A
