label,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
master_baseline,1,1400580.5,91.3,123.9,0.0,0.0
master_baseline,2,1401510.4,91.2,126.1,0.0,0.0
master_baseline,3,1401565.0,91.2,126.3,0.0,0.0
master_baseline,4,1409103.1,90.7,124.4,0.0,0.0
master_baseline,5,1406517.2,90.9,124.1,0.0,0.0
master_baseline,6,1401369.4,91.2,123.0,0.0,0.0
master_baseline,7,1395919.0,91.6,126.7,0.0,0.0
master_baseline,8,1392750.8,91.8,127.0,0.0,0.0
master_baseline,9,1395817.9,91.6,124.3,0.0,0.0
master_baseline,10,1398088.7,91.4,123.8,0.0,0.0
pause_0,1,1405783.1,90.9,123.5,0.0,0.0
pause_0,2,1392347.2,91.8,125.0,0.0,0.0
pause_0,3,1382084.2,92.5,127.1,0.0,0.0
pause_0,4,1391357.3,91.9,125.7,0.0,0.0
pause_0,5,1387569.3,92.1,126.1,0.0,0.0
pause_0,6,1386807.6,92.2,124.6,0.0,0.0
pause_0,7,1387010.3,92.2,125.6,0.0,0.0
pause_0,8,1381565.9,92.5,128.0,0.0,0.0
pause_0,9,1380271.7,92.6,126.4,0.0,0.0
pause_0,10,1395558.1,91.6,126.6,0.0,0.0
pause_10,1,1483427.5,86.2,111.4,0.0,0.0
pause_10,2,1486174.9,86.0,120.9,0.0,0.0
pause_10,3,1484612.9,86.1,119.9,0.0,0.0
pause_10,4,1477323.4,86.5,114.8,0.0,0.0
pause_10,5,1432286.1,89.3,106.0,0.0,0.0
pause_10,6,1476097.6,86.6,108.2,0.0,0.0
pause_10,7,1434397.1,89.1,105.4,0.0,0.0
pause_10,8,1483870.0,86.2,105.1,0.0,0.0
pause_10,9,1478622.3,86.5,104.7,0.0,0.0
pause_10,10,1487833.3,85.9,112.3,0.0,0.0
pause_20,1,1466374.6,87.2,120.4,0.0,0.0
pause_20,2,1434780.2,89.1,123.0,0.0,0.0
pause_20,3,1426183.5,89.6,126.3,0.0,0.0
pause_20,4,1438150.9,88.9,121.8,0.0,0.0
pause_20,5,1470025.0,87.0,121.4,0.0,0.0
pause_20,6,1432422.9,89.3,126.6,0.0,0.0
pause_20,7,1430616.9,89.4,124.3,0.0,0.0
pause_20,8,1419005.1,90.1,119.7,0.0,0.0
pause_20,9,1435776.9,89.0,122.9,0.0,0.0
pause_20,10,1420274.9,90.0,120.5,0.0,0.0
pause_30,1,1445665.1,88.4,124.8,0.0,0.0
pause_30,2,1423465.9,89.8,125.4,0.0,0.0
pause_30,3,1423329.3,89.8,124.7,0.0,0.0
pause_30,4,1416173.9,90.3,122.9,0.0,0.0
pause_30,5,1451693.0,88.1,123.7,0.0,0.0
pause_30,6,1377475.7,92.8,114.3,0.0,0.0
pause_30,7,1446361.2,88.4,122.8,0.0,0.0
pause_30,8,1413834.5,90.4,115.4,0.0,0.0
pause_30,9,1453747.6,87.9,122.0,0.0,0.0
pause_30,10,1453136.4,88.0,122.4,0.0,0.0
pause_40,1,1452093.1,88.0,124.7,0.0,0.0
pause_40,2,1451746.4,88.1,125.0,0.0,0.0
pause_40,3,1434819.0,89.1,121.0,0.0,0.0
