condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,4194304,2400.0,0.0533,0.1417,0.1900,0.2833,0.5283,1.1750,1.7083,2.8067,4.7967,272.4883
N1,4194304,2400.0,0.0500,0.1617,0.2167,0.3017,0.5550,1.2533,1.8283,3.0267,5.0328,234.8483
N2,4194304,2400.0,0.0500,0.1650,0.2200,0.2983,0.5417,1.2467,1.8083,2.9883,4.9528,216.6817
N3,4194304,2400.0,0.0467,0.1500,0.1933,0.2700,0.4950,1.1583,1.6783,2.7617,4.8012,215.9467
N4,4194304,2400.0,0.0600,0.1633,0.2183,0.2850,0.4933,1.1983,1.7250,2.7933,4.6578,217.8483
N5,4194304,2400.0,0.0450,0.1317,0.1817,0.2517,0.4517,1.0817,1.5633,2.5400,4.4095,230.6683
N6,4194304,2400.0,0.0517,0.1483,0.1967,0.2683,0.4667,1.1417,1.6600,2.6817,4.4617,276.5150
N7,4194304,2400.0,0.0533,0.1467,0.1933,0.2600,0.4583,1.1033,1.6100,2.6017,4.3117,230.4150
N8,4194304,2400.0,0.0600,0.1500,0.1933,0.2617,0.4617,1.1100,1.6133,2.6083,4.4017,217.7067
N9,4194304,2400.0,0.0583,0.1450,0.1900,0.2550,0.4467,1.0800,1.5633,2.5250,4.3078,232.3567
N10,4194304,2400.0,0.0467,0.1283,0.1700,0.2350,0.4233,1.0233,1.4650,2.3700,4.2967,230.0733
N11,4194304,2400.0,0.0617,0.1450,0.1900,0.2567,0.4350,1.0950,1.5717,2.5267,4.3267,222.5933
N12,4194304,2400.0,0.0633,0.1500,0.1950,0.2600,0.4333,1.0917,1.5633,2.5167,4.1933,217.1500
N13,4194304,2400.0,0.0517,0.1450,0.1900,0.2517,0.4317,1.0817,1.5367,2.4867,4.2483,266.5467
N14,4194304,2400.0,0.0517,0.1500,0.1950,0.2550,0.4317,1.0817,1.5383,2.4883,4.2850,267.6117
N15,4194304,2400.0,0.0583,0.1317,0.1700,0.2317,0.4067,1.0100,1.4217,2.2983,4.0333,224.9383
N16,4194304,2400.0,0.0467,0.1283,0.1683,0.2317,0.4217,1.0200,1.4300,2.3367,4.4600,217.1300
N17,4194304,2400.0,0.0600,0.1467,0.1867,0.2467,0.4200,1.0600,1.5033,2.4283,4.1650,232.9617
N18,4194304,2400.0,0.0483,0.1317,0.1700,0.2317,0.4083,1.0200,1.4350,2.3250,4.1133,238.0450
N20,4194304,2400.0,0.0617,0.1450,0.1900,0.2550,0.4367,1.0717,1.5067,2.4633,4.4867,219.4550
N22,4194304,2400.0,0.0633,0.1450,0.1883,0.2517,0.4200,1.0533,1.4750,2.3883,4.0962,229.7900
N24,4194304,2400.0,0.0483,0.1233,0.1617,0.2300,0.4150,0.9750,1.3433,2.2233,4.4233,223.3317
N26,4194304,2400.0,0.0483,0.1250,0.1617,0.2333,0.4233,1.0083,1.3850,2.2567,4.0483,219.5700
N28,4194304,2400.0,0.0500,0.1267,0.1633,0.2333,0.4233,1.0067,1.3767,2.2400,4.0433,224.7933
N30,4194304,2400.0,0.0483,0.1233,0.1583,0.2333,0.4300,1.0050,1.3700,2.2283,4.0050,217.6800
N33,4194304,2400.0,0.0583,0.1250,0.1567,0.2267,0.4300,0.9800,1.3500,2.1933,3.8850,217.3217
N36,4194304,2400.0,0.0533,0.1350,0.1700,0.2467,0.4633,1.0300,1.4367,2.3617,4.3667,233.4683
N40,4194304,2400.0,0.0500,0.1250,0.1583,0.2283,0.4500,0.9633,1.3433,2.2267,4.1428,219.6600
N45,4194304,2400.0,0.0483,0.1233,0.1567,0.2350,0.4667,0.9617,1.3483,2.2583,4.1350,267.8917
N50,4194304,2400.0,0.0500,0.1233,0.1567,0.2450,0.4850,0.9800,1.3800,2.3267,4.3000,218.0533
N55,4194304,2400.0,0.0550,0.1400,0.1750,0.2633,0.5200,1.0267,1.4367,2.4267,4.2667,216.7500
N60,4194304,2400.0,0.0583,0.1233,0.1550,0.2533,0.5150,0.9750,1.3433,2.3050,4.2383,215.9867
N70,4194304,2400.0,0.0617,0.1333,0.1667,0.2667,0.5517,1.0433,1.4117,2.4117,4.3067,225.0300
N80,4194304,2400.0,0.0483,0.1217,0.1467,0.2467,0.5350,0.9917,1.3317,2.2700,4.2033,217.8367
N90,4194304,2400.0,0.0533,0.1333,0.1617,0.2600,0.5550,1.0233,1.3883,2.3483,4.2167,220.4733
N100,4194304,2400.0,0.0633,0.1317,0.1583,0.2667,0.5550,1.0083,1.3933,2.3583,4.2033,264.6083
N125,4194304,2400.0,0.0633,0.1317,0.1583,0.2933,0.5700,1.0500,1.4450,2.4800,4.3683,217.5950
N150,4194304,2400.0,0.0633,0.1317,0.1583,0.3083,0.5983,1.0983,1.4900,2.5717,4.5300,222.5533
N175,4194304,2400.0,0.0583,0.1200,0.1483,0.3217,0.6100,1.0917,1.4867,2.5817,4.4900,261.5100
N200,4194304,2400.0,0.0600,0.1183,0.1467,0.3167,0.6133,1.1117,1.5583,2.6317,4.6433,226.1700
