condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,4194304,2400.0,0.0242,0.0450,0.0908,0.2942,0.8725,1.7942,2.5517,4.7817,19.6428,288.9408
N1,4194304,2400.0,0.0242,0.0650,0.0883,0.2925,0.9300,1.9033,2.6542,4.4592,13.6195,285.6850
N2,4194304,2400.0,0.0242,0.0658,0.0900,0.2975,0.8417,1.6533,2.2775,3.7550,6.2214,91.0367
N3,4194304,2400.0,0.0242,0.0683,0.0892,0.3008,0.8475,1.6567,2.2808,3.7475,5.9383,254.4175
N4,4194304,2400.0,0.0242,0.0375,0.0850,0.2558,0.7350,1.4608,2.0133,3.3133,5.1750,293.6650
N5,4194304,2400.0,0.0242,0.0350,0.0825,0.2642,0.7308,1.4683,2.0217,3.3642,5.3192,90.2408
N6,4194304,2400.0,0.0242,0.0342,0.0825,0.2767,0.7317,1.4867,2.0650,3.4525,5.5508,459.1058
N7,4194304,2400.0,0.0242,0.0317,0.0900,0.2883,0.6925,1.4100,1.9533,3.2567,5.1647,221.3608
N8,4194304,2400.0,0.0242,0.0308,0.0808,0.2883,0.6442,1.3508,1.8742,3.1367,5.0225,225.1708
N9,4194304,2400.0,0.0242,0.0308,0.0800,0.2050,0.6825,1.4483,1.9867,3.3092,5.2808,562.5183
N10,4194304,2400.0,0.0242,0.0300,0.0858,0.1567,0.6742,1.3483,1.9058,3.2625,5.3156,404.1475
N15,4194304,2400.0,0.0242,0.0292,0.0500,0.1042,0.5967,1.3858,2.0683,3.6375,6.0142,560.5683
N20,4194304,2400.0,0.0242,0.0275,0.0358,0.0883,0.5767,1.5525,2.5025,4.6642,8.1617,305.5167
N25,4194304,2400.0,0.0242,0.0275,0.0333,0.0900,0.6750,1.7850,2.5342,4.9450,8.5339,758.8775
N30,4194304,2400.0,0.0242,0.0267,0.0308,0.0858,0.7717,1.5100,2.7933,4.8692,7.7758,93.2017
N35,4194304,2400.0,0.0242,0.0267,0.0300,0.0783,0.8558,1.6883,2.5483,4.8592,8.0664,1637.6575
N40,4194304,2400.0,0.0242,0.0267,0.0292,0.0808,0.9525,1.8733,2.8450,5.5200,9.2033,304.2125
N45,4194304,2400.0,0.0242,0.0267,0.0292,0.0708,0.1683,2.0717,3.1642,6.2217,10.7574,316.4500
N50,4194304,2400.0,0.0242,0.0267,0.0292,0.0617,0.1183,2.2392,3.3542,6.6250,11.0717,1357.9608
N55,4194304,2400.0,0.0242,0.0267,0.0292,0.0600,0.1108,2.4433,3.6383,7.1567,11.8597,300.0125
N60,4194304,2400.0,0.0242,0.0258,0.0292,0.0450,0.1058,2.6158,3.9158,6.6608,11.8433,644.0775
N65,4194304,2400.0,0.0242,0.0258,0.0292,0.0442,0.1025,1.5467,3.0000,7.0500,12.4717,409.6050
N70,4194304,2400.0,0.0242,0.0258,0.0292,0.0400,0.1000,1.6250,3.1300,7.5092,12.1425,304.1342
N75,4194304,2400.0,0.0242,0.0258,0.0283,0.0400,0.0975,1.7100,3.3008,8.0492,12.9483,461.5708
N80,4194304,2400.0,0.0242,0.0258,0.0283,0.0375,0.0933,1.8075,3.4942,8.4925,13.6525,318.1950
N85,4194304,2400.0,0.0242,0.0258,0.0275,0.0358,0.0925,1.9017,3.6775,7.3633,14.3350,229.2942
N90,4194304,2400.0,0.0242,0.0258,0.0275,0.0342,0.0900,1.9925,3.8592,7.6900,13.4672,225.5667
N95,4194304,2400.0,0.0242,0.0258,0.0275,0.0333,0.0900,2.0992,4.0675,8.0942,14.1800,462.5925
N100,4194304,2400.0,0.0242,0.0258,0.0275,0.0325,0.0892,2.1867,4.2475,8.4508,14.7464,97.0492
N150,4194304,2400.0,0.0242,0.0258,0.0267,0.0308,0.0783,3.1600,3.3133,9.4783,18.7100,356.2108
N200,4194304,2400.0,0.0242,0.0258,0.0267,0.0300,0.0750,4.1700,4.3167,12.4508,24.6550,541.1875
