label,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
pause_80,9,531337.1,0.0,0.0,240.8,293.5
pause_80,10,531358.5,0.0,0.0,240.8,293.2
pause_90,1,530443.8,0.0,0.0,241.2,294.0
pause_90,2,530920.1,0.0,0.0,241.0,292.6
pause_90,3,531411.6,0.0,0.0,240.8,293.3
pause_90,4,530709.4,0.0,0.0,241.1,293.4
pause_90,5,530479.2,0.0,0.0,241.2,294.3
pause_90,6,531697.2,0.0,0.0,240.6,293.4
pause_90,7,530066.9,0.0,0.0,241.4,294.9
pause_90,8,530413.0,0.0,0.0,241.2,293.9
pause_90,9,531015.2,0.0,0.0,241.0,293.3
pause_90,10,529032.7,0.0,0.0,241.9,294.9
pause_100,1,529025.5,0.0,0.0,241.9,294.7
pause_100,2,529804.4,0.0,0.0,241.5,294.5
pause_100,3,528298.2,0.0,0.0,242.2,294.4
pause_100,4,528090.0,0.0,0.0,242.3,294.8
pause_100,5,529412.7,0.0,0.0,241.7,294.2
pause_100,6,529458.5,0.0,0.0,241.7,293.6
pause_100,7,528231.0,0.0,0.0,242.2,294.7
pause_100,8,527670.1,0.0,0.0,242.5,295.5
pause_100,9,530276.6,0.0,0.0,241.3,293.3
pause_100,10,528783.1,0.0,0.0,242.0,295.2
pause_200,1,529478.1,0.0,0.0,241.7,294.7
pause_200,2,528767.6,0.0,0.0,242.0,294.7
pause_200,3,529730.5,0.0,0.0,241.5,293.7
pause_200,4,528772.9,0.0,0.0,242.0,294.8
pause_200,5,529405.0,0.0,0.0,241.7,293.7
pause_200,6,529173.1,0.0,0.0,241.8,295.0
pause_200,7,529611.7,0.0,0.0,241.6,294.2
pause_200,8,528502.6,0.0,0.0,242.1,295.3
pause_200,9,529068.5,0.0,0.0,241.8,294.8
pause_200,10,529217.0,0.0,0.0,241.8,294.6
pause_300,1,524728.6,0.0,0.0,243.8,297.5
pause_300,2,526048.8,0.0,0.0,243.2,297.0
pause_300,3,527398.7,0.0,0.0,242.6,295.9
pause_300,4,525553.6,0.0,0.0,243.5,297.3
pause_300,5,526633.8,0.0,0.0,243.0,296.4
pause_300,6,524725.1,0.0,0.0,243.8,297.4
pause_300,7,525106.7,0.0,0.0,243.7,296.8
pause_300,8,527195.5,0.0,0.0,242.7,295.3
pause_300,9,526167.7,0.0,0.0,243.2,296.3
pause_300,10,527365.5,0.0,0.0,242.6,295.2
