pause_count,run,QPS
0,1,179241.0
0,2,181623.1
0,3,178823.4
0,4,177399.1
0,5,180841.2
0,6,179929.1
0,7,179996.6
0,8,180404.5
0,9,179537.8
0,10,180551.6
10,1,182266.5
10,2,180230.2
10,3,181127.3
10,4,178743.0
10,5,177660.8
10,6,182346.3
10,7,179729.0
10,8,182135.1
10,9,180060.2
10,10,181661.6
40,1,180721.9
40,2,179605.0
40,3,180190.3
40,4,180298.6
40,5,179749.7
40,6,178857.7
40,7,180365.0
40,8,181553.3
40,9,178837.1
40,10,181365.5
100,1,180920.8
100,2,179251.7
100,3,179970.9
100,4,180898.8
100,5,178689.0
100,6,177697.5
100,7,180112.5
100,8,180143.3
100,9,179364.2
100,10,179873.2
