condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,4194304,2095.0,0.0687,0.1623,0.1938,0.3007,0.5394,1.3126,1.8931,3.0692,4.7857,173.4893
N1,4194304,2095.0,0.0697,0.1757,0.2387,0.3446,0.6043,1.4377,2.0821,3.3527,5.1456,24.4286
N2,4194304,2095.0,0.0687,0.1632,0.1909,0.2606,0.4821,1.2401,1.8091,2.8716,4.3847,13.5752
N3,4194304,2095.0,0.0697,0.1556,0.1842,0.2501,0.4668,1.1924,1.7451,2.7141,4.1260,174.4993
N4,4194304,2095.0,0.0687,0.1604,0.1862,0.2511,0.4668,1.1962,1.7537,2.7456,4.1499,43.2993
N5,4194304,2095.0,0.0697,0.1527,0.1795,0.2444,0.4640,1.1513,1.6831,2.6033,3.9647,160.4200
N6,4194304,2095.0,0.0687,0.1527,0.1795,0.2473,0.4601,1.1360,1.6611,2.5757,3.9093,29.8635
N7,4194304,2095.0,0.0687,0.1489,0.1757,0.2425,0.4659,1.1103,1.5866,2.4993,3.8243,29.2840
N8,4194304,2095.0,0.0687,0.1470,0.1718,0.2415,0.4726,1.1131,1.5494,2.4668,3.8415,164.2854
N9,4194304,2095.0,0.0678,0.1413,0.1795,0.2511,0.4754,1.1179,1.5790,2.4850,3.8606,16.8850
N10,4194304,2095.0,0.0687,0.1365,0.1718,0.2558,0.4745,1.0788,1.5427,2.4401,3.7852,167.7098
N11,4194304,2095.0,0.0687,0.1356,0.1709,0.2587,0.4811,1.0692,1.5484,2.4726,3.8119,50.3790
N12,4194304,2095.0,0.0687,0.1365,0.1699,0.2606,0.4869,1.0606,1.5523,2.4888,3.8425,33.5274
N13,4194304,2095.0,0.0678,0.1337,0.1699,0.2644,0.4974,1.0530,1.5303,2.4831,3.8702,24.7236
N14,4194304,2095.0,0.0687,0.1308,0.1690,0.2673,0.5060,1.0511,1.5093,2.4945,3.9453,20.0420
N15,4194304,2095.0,0.0678,0.1298,0.1699,0.2711,0.5155,1.0511,1.4998,2.5241,4.0229,25.4167
N16,4194304,2095.0,0.0687,0.1260,0.1671,0.2749,0.5279,1.0511,1.4835,2.5451,4.0878,21.8263
N17,4194304,2095.0,0.0678,0.1241,0.1671,0.2778,0.5356,1.0511,1.4597,2.5232,4.0799,19.1666
N18,4194304,2095.0,0.0678,0.1232,0.1709,0.2931,0.5566,1.0683,1.4797,2.5766,4.1973,35.0033
N20,4194304,2095.0,0.0678,0.1222,0.1671,0.2931,0.5804,1.0673,1.4597,2.5556,4.2040,24.3169
N22,4194304,2095.0,0.0678,0.1212,0.1652,0.2864,0.5871,1.0616,1.4578,2.5317,4.1451,164.4869
N24,4194304,2095.0,0.0678,0.1203,0.1585,0.2721,0.5804,1.0444,1.4205,2.4544,3.9551,26.9652
N26,4194304,2095.0,0.0687,0.1212,0.1594,0.2721,0.5833,1.0453,1.4358,2.4554,3.9122,28.9823
N28,4194304,2095.0,0.0678,0.1212,0.1642,0.2816,0.5890,1.0492,1.4415,2.4831,3.9653,28.9050
N30,4194304,2095.0,0.0678,0.1212,0.1604,0.2778,0.5871,1.0549,1.4377,2.4764,3.9100,29.6258
N33,4194304,2095.0,0.0678,0.1184,0.1575,0.2816,0.5795,1.0463,1.4253,2.4840,3.9771,38.0563
N36,4194304,2095.0,0.0678,0.1203,0.1575,0.2854,0.5804,1.0597,1.4224,2.4859,4.0363,35.0740
N40,4194304,2095.0,0.0678,0.1193,0.1623,0.3007,0.5842,1.0969,1.4625,2.5460,4.1890,36.2969
N45,4194304,2095.0,0.0678,0.1222,0.1613,0.3074,0.5890,1.1341,1.4730,2.5537,4.1422,41.4167
N50,4194304,2095.0,0.0678,0.1193,0.1604,0.3150,0.6014,1.1389,1.4826,2.5728,4.1508,46.4811
N55,4194304,2095.0,0.0678,0.1155,0.1604,0.3208,0.6091,1.1484,1.5236,2.6043,4.2011,48.5232
N60,4194304,2095.0,0.0678,0.1126,0.1585,0.3227,0.6148,1.1513,1.5647,2.6148,4.2425,53.1150
N70,4194304,2095.0,0.0678,0.1021,0.1547,0.3208,0.6158,1.1494,1.6697,2.6358,4.3377,58.6282
N80,4194304,2095.0,0.0668,0.0955,0.1537,0.3217,0.6138,1.1427,1.6468,2.6377,4.3504,170.5251
N90,4194304,2095.0,0.0678,0.0936,0.1556,0.3246,0.6110,1.1399,1.6544,2.6797,4.4369,74.1203
N100,4194304,2095.0,0.0678,0.0897,0.1518,0.3246,0.6110,1.1408,1.6706,2.6998,4.4764,79.8148
N125,4194304,2095.0,0.0678,0.0878,0.1575,0.3351,0.6301,1.1742,1.7384,3.0186,4.7494,164.8821
N150,4194304,2095.0,0.0668,0.0811,0.1585,0.3351,0.6234,1.1790,1.7919,3.4711,4.9859,160.3189
N175,4194304,2095.0,0.0678,0.0792,0.1518,0.3351,0.6138,1.1828,1.8654,3.8186,5.2095,130.0993
N200,4194304,2095.0,0.0678,0.0783,0.1432,0.3322,0.6024,1.1780,1.9274,3.9990,5.5062,147.9723
