label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,1051476.5,156.0,174.9,N/A,N/A,N/A,N/A,N/A
master,master,30,0,2,1051356.6,156.0,175.5,N/A,N/A,N/A,N/A,N/A
master,master,30,0,3,1051325.4,156.0,175.2,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,1,1252863.6,135.5,155.6,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,2,1252652.9,135.7,155.8,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,3,1253706.7,135.7,156.0,N/A,N/A,N/A,N/A,N/A
N25,25,30,750,1,1272150.3,134.7,156.0,N/A,N/A,N/A,N/A,N/A
N25,25,30,750,2,1274123.6,134.6,156.1,N/A,N/A,N/A,N/A,N/A
N25,25,30,750,3,1272931.8,134.8,156.1,N/A,N/A,N/A,N/A,N/A
N50,50,30,1500,1,1252818.2,138.1,165.1,N/A,N/A,N/A,N/A,N/A
N50,50,30,1500,2,1253840.5,138.1,165.3,N/A,N/A,N/A,N/A,N/A
N50,50,30,1500,3,1253270.9,138.3,165.7,N/A,N/A,N/A,N/A,N/A
N100,100,30,3000,1,1218859.8,141.7,198.8,N/A,N/A,N/A,N/A,N/A
N100,100,30,3000,2,1218668.9,142.0,198.7,N/A,N/A,N/A,N/A,N/A
N100,100,30,3000,3,1219087.9,141.6,197.4,N/A,N/A,N/A,N/A,N/A
N200,200,30,6000,1,1116430.7,160.1,276.2,N/A,N/A,N/A,N/A,N/A
N200,200,30,6000,2,1117847.9,159.4,274.9,N/A,N/A,N/A,N/A,N/A
N200,200,30,6000,3,1116380.0,160.3,275.6,N/A,N/A,N/A,N/A,N/A
