label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,1104262.7,187.5,224.3,424613,22361,316230150,2309616476,0.0184
master,master,30,0,2,1103790.2,187.7,223.6,382501,19888,313930904,2272663447,0.0168
master,master,30,0,3,1105013.6,187.6,224.3,416957,20483,318251763,2311677817,0.0180
N0,0,30,0,1,1099244.7,170.0,200.3,227414,11747,642620929,2916094471,0.0078
N0,0,30,0,2,1097415.1,169.9,200.3,264393,12663,638043162,2913732182,0.0091
N0,0,30,0,3,1091660.5,175.1,205.4,248263,12765,629052937,2851609198,0.0087
N25,25,30,750,1,1444265.9,112.3,118.8,750063,57259,499133740,3140681116,0.0239
N25,25,30,750,2,1466211.7,109.3,117.1,772815,55882,487833322,3118403941,0.0248
N25,25,30,750,3,1462345.5,109.9,117.2,771641,57927,491592806,3113395293,0.0248
N50,50,30,1500,1,1405261.4,120.3,135.0,695466,44738,391887496,2617042255,0.0266
N50,50,30,1500,2,1387658.2,122.1,135.8,788277,52596,384761826,2576061167,0.0306
N50,50,30,1500,3,1397288.2,121.2,135.4,746891,53194,387474058,2585885303,0.0289
N100,100,30,3000,1,1310264.9,139.7,159.1,488876,33507,310351562,2098811307,0.0233
N100,100,30,3000,2,1306223.3,139.9,159.6,523894,35496,309151776,2082395164,0.0252
N100,100,30,3000,3,1310002.2,139.7,160.3,492429,31927,311073520,2084094655,0.0236
N200,200,30,6000,1,1245451.4,165.8,195.8,501386,32751,239601441,1593841816,0.0315
N200,200,30,6000,2,1245177.0,166.6,196.3,484701,31001,240715049,1602290340,0.0303
N200,200,30,6000,3,1245927.4,166.3,196.1,489808,29865,240727207,1582920302,0.0309
