condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,8388608,2100.0,0.0686,0.1590,0.1914,0.3019,0.5476,1.3267,1.9133,3.1343,4.9105,19.3667
N25,8388608,2100.0,0.0676,0.1210,0.1581,0.2705,0.5848,1.0476,1.4295,2.4524,3.9390,52.8286
N50,8388608,2100.0,0.0676,0.1181,0.1590,0.3124,0.5962,1.1286,1.4743,2.5590,4.1038,15.3876
N100,8388608,2100.0,0.0676,0.0924,0.1524,0.3267,0.6371,1.1686,1.7038,2.7095,4.4752,14.9971
N200,8388608,2100.0,0.0676,0.0781,0.1419,0.3305,0.6010,1.1733,1.9210,3.9657,5.4629,15.0229
