total_conns,mut_conns,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
4,1,1,114649.4,34.8,38.8,0.0,0.0
4,1,2,115651.0,34.5,38.8,0.0,0.0
4,1,3,115187.5,34.6,38.7,0.0,0.0
8,2,1,168872.3,47.2,58.6,0.0,0.0
8,2,2,158197.6,50.4,65.2,0.0,0.0
8,2,3,162450.3,49.1,62.8,0.0,0.0
16,4,1,187970.1,85.0,117.1,0.0,0.0
16,4,2,188705.7,84.7,116.9,0.0,0.0
16,4,3,181351.9,88.1,123.5,0.0,0.0
32,8,1,206031.1,155.2,224.3,0.0,0.0
32,8,2,206696.5,154.7,222.9,0.0,0.0
32,8,3,205882.5,155.3,223.9,0.0,0.0
64,16,1,217201.6,294.5,428.5,0.0,0.0
64,16,2,218109.5,293.3,427.1,0.0,0.0
64,16,3,220096.0,290.7,422.0,0.0,0.0
128,32,1,225764.7,566.8,824.4,0.0,0.0
128,32,2,225102.3,568.5,826.4,0.0,0.0
128,32,3,221666.6,577.3,838.3,0.0,0.0
256,64,1,229943.9,1113.2,1583.5,0.0,0.0
256,64,2,226242.9,1131.4,1608.4,0.0,0.0
256,64,3,229256.1,1116.5,1595.3,0.0,0.0
