pause_count,run,QPS
0,1,178607.5
0,2,181506.0
0,3,182460.5
0,4,181373.2
0,5,180592.9
0,6,181978.4
0,7,180725.6
0,8,181662.8
0,9,181020.5
0,10,179969.8
10,1,182484.3
10,2,180767.4
10,3,180433.0
10,4,181181.6
10,5,179051.8
10,6,180653.8
10,7,178748.5
10,8,179280.6
10,9,182016.3
10,10,181129.3
40,1,179797.5
40,2,180146.9
40,3,180796.5
40,4,180017.9
40,5,180053.3
40,6,177355.3
40,7,180795.9
40,8,179517.4
40,9,179849.2
40,10,179197.3
100,1,181165.3
100,2,180413.4
100,3,180104.2
100,4,181130.6
100,5,181643.8
100,6,177120.3
100,7,180318.8
100,8,181166.7
100,9,180469.7
100,10,179855.3
