pause_count,run,QPS
0,1,179359.2
0,2,176466.0
0,3,177858.9
0,4,177610.4
0,5,177494.9
0,6,175897.3
0,7,176987.9
0,8,175963.7
0,9,175710.6
0,10,178368.0
10,1,178593.6
10,2,176055.0
10,3,176357.9
10,4,176592.4
10,5,176869.4
10,6,176899.9
10,7,177120.0
10,8,176138.8
10,9,177793.4
10,10,176145.4
40,1,178140.5
40,2,178943.2
40,3,176448.1
40,4,177303.8
40,5,177238.9
40,6,176928.6
40,7,176069.4
40,8,178978.5
40,9,176204.0
40,10,175210.4
100,1,175519.0
100,2,176646.3
100,3,177003.2
100,4,177224.2
100,5,176280.2
100,6,177636.3
100,7,177001.4
100,8,175907.6
100,9,175884.1
100,10,176357.9
