condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,4194304,2200.0,0.0255,0.0309,0.0618,0.1091,0.3473,0.9200,1.6236,4.1782,20.9844,211.9982
N1,4194304,2200.0,0.0255,0.0364,0.0709,0.1364,0.4527,1.0436,1.6764,3.4345,17.7473,293.6164
N2,4194304,2200.0,0.0255,0.0327,0.0727,0.1309,0.4782,1.0836,1.6818,3.2673,16.1964,322.0455
N3,4194304,2200.0,0.0255,0.0291,0.0400,0.1182,0.3691,0.8436,1.3709,2.6800,7.0855,152.4000
N4,4194304,2200.0,0.0255,0.0327,0.0727,0.1309,0.4418,0.9855,1.5382,2.8873,8.6576,211.7945
N5,4194304,2200.0,0.0255,0.0364,0.0855,0.1382,0.5345,1.2036,1.8018,3.3527,9.1582,212.2591
N6,4194304,2200.0,0.0255,0.0309,0.0709,0.1291,0.4655,1.0491,1.6400,3.1255,7.8891,212.9600
N7,4194304,2200.0,0.0255,0.0345,0.0800,0.1364,0.5327,1.1745,1.7564,3.2382,8.1964,380.0618
N8,4194304,2200.0,0.0255,0.0327,0.0709,0.1309,0.4545,1.0145,1.5200,2.7745,6.6794,213.5909
N9,4194304,2200.0,0.0255,0.0291,0.0364,0.1055,0.3145,0.7800,1.1891,2.3091,4.4600,180.2709
N10,4194304,2200.0,0.0255,0.0364,0.0764,0.1364,0.4600,1.0509,1.5491,2.8127,5.2376,324.0255
N15,4194304,2200.0,0.0255,0.0327,0.0727,0.1255,0.4673,1.0000,1.4964,2.6745,4.9709,234.8491
N20,4194304,2200.0,0.0255,0.0309,0.0509,0.1273,0.4145,0.9673,1.4818,2.6964,5.0413,180.9818
N25,4194304,2200.0,0.0255,0.0309,0.0418,0.1073,0.3836,0.9473,1.4800,2.8655,5.6145,202.1745
N30,4194304,2200.0,0.0255,0.0309,0.0400,0.1091,0.4145,1.0236,1.6382,3.1855,6.3527,199.2764
N35,4194304,2200.0,0.0255,0.0309,0.0436,0.1200,0.4491,1.1345,1.8255,3.5764,7.3691,202.3982
N40,4194304,2200.0,0.0255,0.0327,0.0400,0.1145,0.4855,1.0345,1.6836,3.3218,6.8709,232.2291
N45,4194304,2200.0,0.0255,0.0327,0.0382,0.1109,0.4982,0.9909,1.7655,3.4327,6.7618,296.9800
N50,4194304,2200.0,0.0255,0.0309,0.0364,0.1036,0.5582,1.0745,1.9382,3.4636,6.8145,144.5564
N55,4194304,2200.0,0.0255,0.0309,0.0364,0.0982,0.5764,1.1273,2.0527,3.6200,7.0636,197.3582
N60,4194304,2200.0,0.0255,0.0309,0.0382,0.1073,0.6382,1.2564,2.2855,3.9655,7.4236,307.9164
N65,4194304,2200.0,0.0255,0.0309,0.0364,0.0927,0.6582,1.2782,2.3909,4.2309,7.9140,208.7218
N70,4194304,2200.0,0.0255,0.0309,0.0382,0.0891,0.6909,1.3564,2.3259,4.9855,9.1473,267.5545
N75,4194304,2200.0,0.0255,0.0291,0.0345,0.0855,0.7364,1.4491,2.1855,5.0964,10.4376,348.0218
N80,4194304,2200.0,0.0255,0.0309,0.0345,0.0836,0.7491,1.5182,2.2709,5.1691,10.2504,165.4618
N85,4194304,2200.0,0.0255,0.0309,0.0345,0.0800,0.1818,1.5436,2.3164,5.2782,10.5055,409.3909
N90,4194304,2200.0,0.0255,0.0309,0.0382,0.0836,0.1727,1.0145,2.4127,4.8255,10.2231,218.0873
N95,4194304,2200.0,0.0255,0.0291,0.0345,0.0800,0.1582,1.0291,1.9073,5.0927,9.8667,295.5309
N100,4194304,2200.0,0.0255,0.0309,0.0364,0.0764,0.1727,1.0945,2.0709,4.5509,9.6855,213.5327
N150,4194304,2200.0,0.0255,0.0291,0.0327,0.0764,0.1382,1.4927,2.7927,6.5364,11.6709,235.6055
N200,4194304,2200.0,0.0255,0.0291,0.0327,0.0564,0.1291,1.8255,3.4873,8.4873,15.2127,376.8455
