condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,4194304,2400.0,0.0233,0.0350,0.0650,0.1200,0.4717,1.1067,1.6850,4.2517,18.0845,344.8100
N1,4194304,2400.0,0.0233,0.0400,0.0817,0.1800,0.6583,1.4983,2.2317,4.6633,19.6083,234.1700
N2,4194304,2400.0,0.0217,0.0433,0.0850,0.2267,0.6783,1.4933,2.1717,3.9817,17.0545,728.7933
N3,4194304,2400.0,0.0217,0.0450,0.0867,0.2267,0.6933,1.5283,2.2167,4.0483,17.5500,1684.3417
N4,4194304,2400.0,0.0233,0.0517,0.0933,0.2367,0.6733,1.4467,2.0783,3.6183,13.3762,371.8700
N5,4194304,2400.0,0.0233,0.0517,0.0800,0.1933,0.6050,1.2733,1.8117,3.0967,12.1850,237.7200
N6,4194304,2400.0,0.0233,0.0517,0.0867,0.2000,0.6283,1.3183,1.8733,3.1833,12.4600,524.4283
N7,4194304,2400.0,0.0233,0.0433,0.0800,0.1767,0.5917,1.2433,1.7750,3.0400,12.0578,381.7083
N8,4194304,2400.0,0.0233,0.0550,0.0850,0.2200,0.6767,1.4250,2.0267,3.4617,9.2771,368.1767
N9,4194304,2400.0,0.0233,0.0450,0.0817,0.1800,0.5983,1.2233,1.7367,2.9283,6.1933,227.9533
N10,4194304,2400.0,0.0233,0.0450,0.0800,0.1817,0.5783,1.1783,1.6533,2.7567,5.3733,588.1200
N15,4194304,2400.0,0.0233,0.0483,0.0833,0.2317,0.6100,1.2617,1.7550,2.9133,4.9567,750.9333
N20,4194304,2400.0,0.0217,0.0383,0.0717,0.1333,0.5400,1.0933,1.5900,2.6283,4.5617,270.9800
N25,4194304,2400.0,0.0217,0.0367,0.0750,0.1233,0.5567,1.2517,1.7717,3.0467,5.2845,313.3283
N30,4194304,2400.0,0.0217,0.0350,0.0633,0.1000,0.5633,1.1400,1.7550,3.2250,5.7300,743.4667
N35,4194304,2400.0,0.0217,0.0300,0.0567,0.0883,0.4217,1.1800,1.6433,3.2250,5.8500,295.5083
N40,4194304,2400.0,0.0217,0.0300,0.0567,0.1067,0.5017,1.1583,1.7300,3.2967,5.8145,312.4767
N45,4194304,2400.0,0.0217,0.0300,0.0567,0.1050,0.5533,1.2367,1.9283,3.4717,6.0733,470.9450
N50,4194304,2400.0,0.0217,0.0300,0.0533,0.0883,0.5317,1.2750,1.9933,3.5183,5.9433,341.9433
N55,4194304,2400.0,0.0217,0.0300,0.0517,0.0867,0.5483,1.3750,2.1517,3.5867,6.1950,306.5500
N60,4194304,2400.0,0.0217,0.0300,0.0433,0.1033,0.5533,1.4500,2.1250,3.7733,6.5200,864.1083
N65,4194304,2400.0,0.0217,0.0283,0.0350,0.0933,0.5717,1.5283,2.1967,4.5183,7.7000,467.9567
N70,4194304,2400.0,0.0217,0.0283,0.0367,0.0933,0.6217,1.6683,2.7350,5.4650,9.8467,393.4300
N75,4194304,2400.0,0.0217,0.0283,0.0367,0.0800,0.6500,1.3133,2.4500,5.4233,10.2502,320.0067
N80,4194304,2400.0,0.0217,0.0283,0.0350,0.0783,0.6467,1.3183,2.4733,4.9967,9.6733,474.9917
N85,4194304,2400.0,0.0217,0.0283,0.0350,0.0750,0.6783,1.3533,2.5317,5.0633,9.4117,573.0133
N90,4194304,2400.0,0.0217,0.0283,0.0350,0.0750,0.7117,1.4167,2.1867,4.7383,8.6600,232.5283
N95,4194304,2400.0,0.0217,0.0283,0.0350,0.0750,0.7600,1.5167,2.2700,4.4467,7.9617,495.4633
N100,4194304,2400.0,0.0217,0.0283,0.0350,0.0750,0.7883,1.5717,2.3450,4.5433,7.6133,227.1933
N150,4194304,2400.0,0.0217,0.0267,0.0300,0.0617,0.1167,2.2667,3.3850,6.5750,10.8683,569.6667
N200,4194304,2400.0,0.0217,0.0267,0.0283,0.0500,0.1050,1.6333,4.2383,7.3150,12.8300,576.2100
