pause_count,run,QPS
0,1,178250.2
0,2,178237.0
0,3,177246.3
0,4,177594.3
0,5,179407.5
0,6,177223.2
0,7,177649.2
0,8,179916.9
0,9,179282.3
0,10,179882.3
10,1,179498.3
10,2,181241.5
10,3,178304.3
10,4,177709.7
10,5,177802.9
10,6,179112.8
10,7,179926.8
10,8,178718.5
10,9,175294.2
10,10,179849.6
40,1,181136.2
40,2,178456.2
40,3,177779.8
40,4,177971.2
40,5,178122.1
40,6,178455.5
40,7,180207.0
40,8,178557.4
40,9,179226.3
40,10,178104.0
100,1,181100.8
100,2,177708.5
100,3,178161.6
100,4,178298.3
100,5,176256.9
100,6,178704.3
100,7,177428.0
100,8,177366.7
100,9,179274.3
100,10,176818.8
