pause_count,run,QPS
0,1,179223.4
0,2,176827.3
0,3,177428.2
0,4,177696.6
0,5,178121.0
0,6,177284.9
0,7,177685.0
0,8,176799.0
0,9,176948.9
0,10,176290.0
10,1,177405.4
10,2,177996.0
10,3,178710.5
10,4,178288.5
10,5,177022.5
10,6,179517.7
10,7,177478.0
10,8,178380.7
10,9,177661.3
10,10,179752.3
40,1,178352.7
40,2,179427.3
40,3,180295.9
40,4,179343.5
40,5,177925.8
40,6,178654.5
40,7,179558.5
40,8,177320.1
40,9,179374.0
40,10,178474.5
100,1,180273.2
100,2,179475.7
100,3,179630.4
100,4,180062.3
100,5,177203.2
100,6,177597.4
100,7,177589.7
100,8,178148.9
100,9,178281.4
100,10,178331.6
