label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,1120535.1,186.9,222.1,773474,52271,633099899,4552108727,0.0170
master,master,30,0,2,1120674.3,187.2,222.8,1073345,107589,635413208,4500117169,0.0239
master,master,30,0,3,1120245.2,187.4,223.1,1076801,107498,633128725,4466224690,0.0241
master,master,30,0,4,1117278.5,187.0,222.0,1184529,117641,631414115,4483374244,0.0264
master,master,30,0,5,1120133.0,187.3,222.9,729576,49158,636056391,4545474459,0.0161
N0,0,30,0,1,1092195.0,179.3,207.8,392445,25302,1305678521,5875120841,0.0067
N0,0,30,0,2,1092111.0,179.0,207.7,418307,25639,1305263911,5915879819,0.0071
N0,0,30,0,3,1091988.9,178.2,207.2,481535,28662,1303150733,5914059479,0.0081
N0,0,30,0,4,1092579.4,179.2,207.7,384099,24558,1302186216,5889055389,0.0065
N0,0,30,0,5,1093046.1,179.3,208.3,411855,24553,1302050599,5923259256,0.0070
N1,1,30,30,1,1098720.8,156.2,185.8,393904,25495,1361453078,6178434930,0.0064
N1,1,30,30,2,1099171.8,157.5,186.4,428420,28334,1361096748,6183519958,0.0069
N1,1,30,30,3,1090395.9,161.0,187.7,280792,17409,1360675910,6189236393,0.0045
N1,1,30,30,4,1091880.5,158.8,186.8,338910,21632,1361486499,6227303772,0.0054
N1,1,30,30,5,1091469.3,160.0,187.1,242368,17370,1361026108,6183308420,0.0039
N2,2,30,60,1,1092435.1,153.5,181.6,246691,17458,1254720189,5933479636,0.0042
N2,2,30,60,2,1091866.4,154.0,181.8,486928,71823,1253606353,5878398672,0.0083
N2,2,30,60,3,1092922.1,152.6,180.2,764596,116741,1255145310,5923185312,0.0129
N2,2,30,60,4,1091111.4,153.9,182.2,297777,30662,1252170650,5903720179,0.0050
N2,2,30,60,5,1092743.7,154.1,183.0,228627,13585,1254374577,5880469198,0.0039
N3,3,30,90,1,1221303.0,130.7,157.7,555456,34695,1440987811,6627592799,0.0084
N3,3,30,90,2,1222622.8,128.9,154.3,848737,54264,1435525323,6568185046,0.0129
N3,3,30,90,3,1207497.4,136.7,163.8,507691,28998,1430342377,6571042301,0.0077
N3,3,30,90,4,1210071.2,136.3,163.5,436006,25356,1431881915,6539904265,0.0067
N3,3,30,90,5,1207529.6,135.8,162.4,502732,28961,1432431131,6571624181,0.0077
N4,4,30,120,1,1336413.6,118.1,145.0,1008146,66607,1367468516,6939692443,0.0145
N4,4,30,120,2,1335878.5,118.2,145.4,864166,58325,1370574242,6861637007,0.0126
N4,4,30,120,3,1339160.4,117.4,144.2,1165834,79977,1362642851,6883739065,0.0169
N4,4,30,120,4,1339983.8,117.3,143.5,1050306,71804,1367129536,6868703543,0.0153
N4,4,30,120,5,1338540.2,118.2,145.6,1444008,172696,1366807302,6900945031,0.0209
N5,5,30,150,1,1347211.0,117.4,145.7,1521562,172219,1310559649,6836379896,0.0223
N5,5,30,150,2,1346497.2,118.1,146.7,1433504,174410,1315630989,6851072692,0.0209
N5,5,30,150,3,1347643.6,117.2,143.4,1178002,77718,1312554634,6873844925,0.0171
N5,5,30,150,4,1346801.2,117.4,145.3,946739,58555,1311209656,6806850962,0.0139
N5,5,30,150,5,1347858.4,118.1,146.7,875483,53891,1316336454,6806797391,0.0129
N6,6,30,180,1,1324792.2,120.5,147.8,1408130,164303,1245534950,6813991948,0.0207
N6,6,30,180,2,1327669.5,121.3,149.4,949339,82532,1254455147,6745719649,0.0141
N6,6,30,180,3,1329763.6,120.1,147.7,951268,60302,1249696795,6675437250,0.0143
N6,6,30,180,4,1329040.0,119.6,147.6,920205,56915,1249204423,6682715501,0.0138
N6,6,30,180,5,1329466.7,120.4,148.4,923020,57354,1249109569,6656408306,0.0139
N7,7,30,210,1,1420881.3,114.0,139.4,1527767,108892,1299768874,7010685824,0.0218
N7,7,30,210,2,1418997.5,114.2,139.5,1874689,199442,1303683348,7082347197,0.0265
N7,7,30,210,3,1419941.5,114.1,139.4,2040872,210991,1300625753,7102511202,0.0287
N7,7,30,210,4,1418665.7,114.3,139.8,1796961,182476,1305398937,7116884328,0.0252
N7,7,30,210,5,1420109.2,114.2,139.7,1496516,101818,1303561103,7088819281,0.0211
N8,8,30,240,1,1465850.7,109.9,136.9,1817967,128384,1243451251,7113905838,0.0256
N8,8,30,240,2,1466463.8,110.3,137.6,1742450,125332,1244879815,7087474485,0.0246
N8,8,30,240,3,1469577.5,108.5,135.4,1993681,143186,1235656352,7006999491,0.0285
N8,8,30,240,4,1465481.6,109.9,137.0,1690596,119268,1247832447,7013014722,0.0241
N8,8,30,240,5,1467689.7,109.4,136.6,1744716,126645,1247356420,6997470924,0.0249
N9,9,30,270,1,1392251.2,116.0,141.7,1357349,94491,1181459794,6590408421,0.0206
N9,9,30,270,2,1393106.7,116.0,141.9,1614208,162928,1180718588,6547047731,0.0247
N9,9,30,270,3,1391871.7,116.0,141.9,1600453,182757,1193383179,6568313567,0.0244
N9,9,30,270,4,1391358.6,116.1,142.2,1709882,190644,1187054208,6557625376,0.0261
N9,9,30,270,5,1392973.9,115.9,141.4,1806945,200340,1182121402,6607104020,0.0273
N10,10,30,300,1,1440441.8,113.0,138.9,2089229,222210,1172412744,6886399010,0.0303
N10,10,30,300,2,1440519.8,112.8,138.8,1680803,128645,1170745524,6903501118,0.0243
N10,10,30,300,3,1440306.5,112.6,138.4,2027592,209912,1178954148,6846915534,0.0296
N10,10,30,300,4,1440961.4,112.8,138.6,2126809,224086,1172144885,6826948216,0.0312
N10,10,30,300,5,1438788.7,113.3,139.4,2128016,218340,1170703840,6784633564,0.0314
N15,15,30,450,1,1403566.1,116.0,141.0,1585909,108616,1138163125,6535458197,0.0243
N15,15,30,450,2,1402651.2,116.1,141.3,1447068,99804,1143167534,6537910167,0.0221
N15,15,30,450,3,1405153.5,115.7,140.2,1913739,136415,1124939674,6526401597,0.0293
N15,15,30,450,4,1404343.5,116.1,141.4,1348027,91780,1146305910,6483128762,0.0208
N15,15,30,450,5,1410338.4,115.7,140.8,1578411,108076,1137709002,6502752324,0.0243
N20,20,30,600,1,1480048.1,112.6,136.1,2187300,211014,1029144367,6418791321,0.0341
N20,20,30,600,2,1483446.3,112.0,134.9,2530337,265406,1017080419,6386824044,0.0396
N20,20,30,600,3,1486321.1,111.5,134.1,2018100,150086,1012973311,6371643048,0.0317
N20,20,30,600,4,1486566.9,111.8,135.0,2397491,243124,1022794459,6351068738,0.0377
N20,20,30,600,5,1487392.1,111.3,134.7,2617648,257905,1010943884,6323964443,0.0414
N25,25,30,750,1,1423357.3,115.8,138.8,1832612,193705,1005027659,6241889544,0.0294
N25,25,30,750,2,1423486.0,115.8,138.9,1534084,111699,1003194346,6217321676,0.0247
N25,25,30,750,3,1423690.8,115.6,137.8,1836026,136435,993621452,6218343810,0.0295
N25,25,30,750,4,1424212.9,115.8,138.3,1600119,121044,999197494,6215418407,0.0257
N25,25,30,750,5,1423819.6,115.8,139.0,1517958,109619,1002914259,6223907137,0.0244
N30,30,30,900,1,1448178.2,114.4,137.6,1616870,116740,962837464,6152368679,0.0263
N30,30,30,900,2,1448060.9,114.2,136.8,1686977,123490,959342338,6212768088,0.0272
N30,30,30,900,3,1446022.6,114.3,137.6,1943350,142964,956620515,6180120268,0.0314
N30,30,30,900,4,1446905.4,114.3,136.8,1787067,129946,961168983,6167165476,0.0290
N30,30,30,900,5,1447249.2,114.4,137.6,1547963,110430,961602996,6227962808,0.0249
N35,35,30,1050,1,1430298.5,116.0,141.4,2214890,231827,874488706,5759988454,0.0385
N35,35,30,1050,2,1430896.6,116.0,141.1,2200482,231751,873100913,5770088436,0.0381
N35,35,30,1050,3,1431122.9,116.0,141.4,2172543,236843,883806708,5813176910,0.0374
N35,35,30,1050,4,1430300.1,116.1,140.7,2036099,215476,882072319,5753428496,0.0354
N35,35,30,1050,5,1431374.6,116.1,141.3,1532830,108760,884144755,5766155106,0.0266
N40,40,30,1200,1,1399417.1,121.7,144.6,1581179,117084,852477907,5642123219,0.0280
N40,40,30,1200,2,1400490.9,121.9,145.5,1471274,107299,860691562,5598017100,0.0263
N40,40,30,1200,3,1399997.8,121.9,143.5,1447224,110338,858023601,5621751437,0.0257
N40,40,30,1200,4,1399701.0,121.9,145.1,1479794,108946,858509441,5657175246,0.0262
N40,40,30,1200,5,1399758.0,121.6,144.1,1556766,113306,850983575,5649538443,0.0276
N45,45,30,1350,1,1395064.0,123.7,147.5,1631273,124838,809552879,5381217848,0.0303
N45,45,30,1350,2,1396115.5,124.2,147.8,1455250,110574,819398927,5387482659,0.0270
N45,45,30,1350,3,1398544.9,123.9,147.5,1454914,103233,817022295,5394466889,0.0270
N45,45,30,1350,4,1396888.9,123.7,147.4,1627881,120011,812176804,5364832540,0.0303
N45,45,30,1350,5,1397688.7,123.6,146.2,1831648,164315,813265256,5326130617,0.0344
N50,50,30,1500,1,1379240.1,125.8,152.0,1992665,202232,770175193,5091170961,0.0391
N50,50,30,1500,2,1380292.5,125.8,152.3,1961563,203047,769742681,5141181747,0.0382
N50,50,30,1500,3,1379997.6,126.2,152.8,1843749,193847,774659277,5126137857,0.0360
N50,50,30,1500,4,1378806.6,125.7,151.8,1716925,142469,761592050,5043127804,0.0340
N50,50,30,1500,5,1379293.2,126.3,152.8,1322199,92190,771678177,5094534752,0.0260
N55,55,30,1650,1,1385380.1,126.0,153.8,1488009,110336,777815301,5149368728,0.0289
N55,55,30,1650,2,1388046.2,125.9,153.0,1653351,123783,780872903,5124200556,0.0323
N55,55,30,1650,3,1387236.3,125.8,152.7,1499170,109994,778020185,5157856147,0.0291
N55,55,30,1650,4,1386689.1,125.6,151.9,1566251,116292,771956919,5156436337,0.0304
N55,55,30,1650,5,1385963.4,126.3,153.2,1673492,166399,784369321,5104516115,0.0328
N60,60,30,1800,1,1356338.9,128.4,158.6,1836528,202487,729002268,4918134036,0.0373
N60,60,30,1800,2,1357737.3,128.1,157.2,1920550,213347,724288799,4931351069,0.0389
N60,60,30,1800,3,1361202.8,128.1,157.3,1916778,213959,726138027,4928196530,0.0389
N60,60,30,1800,4,1359109.5,128.1,157.7,1899300,200406,728171261,4898140388,0.0388
N60,60,30,1800,5,1359938.0,128.1,158.2,1874941,201171,730230286,4910114759,0.0382
N65,65,30,1950,1,1356635.8,128.9,161.7,1754275,187486,728205060,4829979648,0.0363
N65,65,30,1950,2,1358239.3,128.6,159.6,1899614,197574,721637908,4852982487,0.0391
N65,65,30,1950,3,1359832.1,128.7,160.8,1816036,188009,727021698,4840733774,0.0375
N65,65,30,1950,4,1361018.3,128.6,160.6,2136275,202080,725330471,4801563907,0.0445
N65,65,30,1950,5,1358919.6,128.8,161.7,1736659,179305,726508156,4816763483,0.0361
N70,70,30,2100,1,1356637.8,129.6,164.4,1776423,186613,692329788,4794187212,0.0371
N70,70,30,2100,2,1356198.9,128.8,163.7,1979386,205089,679913364,4775682505,0.0414
N70,70,30,2100,3,1356200.8,129.7,164.7,1836084,205858,688255333,4779636965,0.0384
N70,70,30,2100,4,1355164.2,130.5,164.9,1787046,205241,695036610,4805218914,0.0372
N70,70,30,2100,5,1358697.8,129.0,163.5,1818213,194455,693745704,4762009850,0.0382
N75,75,30,2250,1,1353712.6,131.5,169.0,1831724,183848,682660810,4615998360,0.0397
N75,75,30,2250,2,1352568.4,131.3,168.4,1865560,196898,679643400,4671538000,0.0399
N75,75,30,2250,3,1353276.2,131.3,168.9,1892039,201101,676667664,4649474803,0.0407
N75,75,30,2250,4,1354984.6,130.9,168.9,1886964,200696,680093748,4640143404,0.0407
N75,75,30,2250,5,1355314.5,131.7,168.6,1798541,185586,682976800,4657243096,0.0386
N80,80,30,2400,1,1356389.3,131.8,169.8,1510761,108813,658427514,4595952541,0.0329
N80,80,30,2400,2,1357544.9,132.0,168.3,1396992,98856,665836794,4567988877,0.0306
N80,80,30,2400,3,1357023.0,132.6,169.6,1413200,101050,660820088,4609253164,0.0307
N80,80,30,2400,4,1356735.2,131.7,168.7,1471835,104354,661482182,4626417233,0.0318
N80,80,30,2400,5,1356848.5,133.1,169.1,1489261,126269,669300534,4542956794,0.0328
N85,85,30,2550,1,1336019.1,137.1,176.4,1252019,89274,667642229,4505352895,0.0278
N85,85,30,2550,2,1335009.1,137.2,175.4,1246593,88565,665031816,4520931443,0.0276
N85,85,30,2550,3,1335000.2,137.5,175.1,1187826,86380,670113534,4489823012,0.0265
N85,85,30,2550,4,1336735.8,136.9,174.6,1230436,84573,667248485,4470827678,0.0275
N85,85,30,2550,5,1333734.1,137.6,176.8,1166764,83543,670943741,4485730364,0.0260
N90,90,30,2700,1,1338244.8,137.3,176.1,1269862,92813,633920737,4352346459,0.0292
N90,90,30,2700,2,1338568.4,137.7,176.8,1144507,81996,644675636,4393857590,0.0260
N90,90,30,2700,3,1337408.3,137.3,178.4,1276880,91745,636935701,4390365967,0.0291
N90,90,30,2700,4,1337325.4,136.6,176.6,1333367,93846,632078074,4372867435,0.0305
N90,90,30,2700,5,1338551.0,136.6,177.8,1389927,99738,632162041,4358658774,0.0319
N95,95,30,2850,1,1346492.1,137.3,177.4,1262976,90649,629937128,4310958328,0.0293
N95,95,30,2850,2,1347248.7,137.3,176.5,1210790,85304,633290699,4332485669,0.0279
N95,95,30,2850,3,1347070.6,137.6,177.3,1210239,86497,635304670,4280815585,0.0283
N95,95,30,2850,4,1347983.2,136.9,177.7,1300361,92491,629500517,4281968496,0.0304
