label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,853749.3,235.6,341.3,144902,52564,1977916911,10096331274,0.0014
master,master,30,0,2,854518.8,234.7,342.4,159051,59546,1973822272,10102680420,0.0016
master,master,30,0,3,854113.0,234.7,341.4,163535,60318,1981789773,10095594771,0.0016
master,master,30,0,4,853343.0,235.5,340.0,144667,52743,1972991952,10144142588,0.0014
master,master,30,0,5,853990.6,235.8,340.6,139934,51152,1980396166,10096572658,0.0014
N0,0,30,0,1,1142178.0,171.6,288.0,537680,158301,2958421432,12424047218,0.0043
N0,0,30,0,2,1142877.9,171.6,290.3,528566,154470,2956959630,12394611982,0.0043
N0,0,30,0,3,1143021.9,170.2,283.5,550567,161053,2955969251,12506589694,0.0044
N0,0,30,0,4,1141915.4,172.2,295.9,515338,155094,2963890930,12445337175,0.0041
N0,0,30,0,5,1143273.7,170.9,287.0,544161,158631,2958836393,12429802360,0.0044
N1,1,30,30,1,1114721.0,171.3,300.0,502650,148696,2950242755,11770040789,0.0043
N1,1,30,30,2,1114940.8,171.6,304.8,494533,147123,2951948585,11771602465,0.0042
N1,1,30,30,3,1114418.5,171.8,305.1,487792,145882,2937135633,11783194701,0.0041
N1,1,30,30,4,1114920.9,171.4,301.4,498542,147450,2935822146,11728432272,0.0043
N1,1,30,30,5,1114705.2,171.4,303.3,490637,146493,2949517655,11807303103,0.0042
N2,2,30,60,1,1147113.8,166.8,291.4,526159,157006,3045138821,12432040291,0.0042
N2,2,30,60,2,1148523.9,166.5,293.1,537398,161134,3051806416,12434148515,0.0043
N2,2,30,60,3,1149756.0,163.4,273.0,577611,170814,3060978042,12616387918,0.0046
N2,2,30,60,4,1147120.9,167.2,296.6,509142,149857,3043379805,12412902858,0.0041
N2,2,30,60,5,1146935.6,165.5,286.4,544536,157555,3043530576,12539227800,0.0043
N3,3,30,90,1,1152552.6,164.4,293.8,540429,155994,3054466628,12101282174,0.0045
N3,3,30,90,2,1154478.7,164.2,305.7,551694,161023,3055818487,12068385269,0.0046
N3,3,30,90,3,1156889.2,162.8,288.0,575524,168658,3063225878,12097010457,0.0048
N3,3,30,90,4,1155882.8,163.4,290.3,573667,168806,3073500836,12036989098,0.0048
N3,3,30,90,5,1153150.9,164.8,300.7,557023,165305,3059665242,12027057270,0.0046
N4,4,30,120,1,1092895.8,169.1,306.1,471843,137083,2884810543,11148343402,0.0042
N4,4,30,120,2,1091537.7,169.8,309.5,428038,127588,2885007432,11082993516,0.0039
N4,4,30,120,3,1091633.3,168.7,304.4,492307,142034,2885503661,11094423580,0.0044
N4,4,30,120,4,1091607.6,169.5,307.6,442499,126521,2876074775,11027840575,0.0040
N4,4,30,120,5,1091819.7,169.2,306.6,463869,131510,2882008693,11121722173,0.0042
N5,5,30,150,1,1142405.6,156.4,282.7,546019,153954,2916087749,11140916202,0.0049
N5,5,30,150,2,1143216.8,155.8,278.7,563932,158163,2924768379,11180754403,0.0050
N5,5,30,150,3,1145307.5,154.9,263.5,603562,169902,2913561933,11271306894,0.0054
N5,5,30,150,4,1142955.7,156.6,285.3,543906,150809,2921321761,11139208494,0.0049
N5,5,30,150,5,1142279.6,157.2,290.2,559176,156567,2911980915,11134692556,0.0050
N6,6,30,180,1,1114623.5,164.9,305.0,460885,133338,2831892125,10967130008,0.0042
N6,6,30,180,2,1111162.1,166.0,305.8,428907,127746,2823798709,10886940047,0.0039
N6,6,30,180,3,1114180.3,164.6,300.7,463276,135903,2827884337,10899093534,0.0043
N6,6,30,180,4,1113216.7,164.6,296.3,502042,142338,2826937776,10979282830,0.0046
N6,6,30,180,5,1112791.9,165.1,303.8,466523,137054,2828514954,10982393543,0.0042
N7,7,30,210,1,1150316.1,156.1,297.7,568961,156614,2907537778,11299394671,0.0050
N7,7,30,210,2,1151207.4,156.1,292.4,527789,148354,2910990906,11306688719,0.0047
N7,7,30,210,3,1151164.6,156.0,291.1,530984,148776,2916517868,11331445745,0.0047
N7,7,30,210,4,1149972.1,156.1,305.4,522779,145878,2912059994,11292305824,0.0046
N7,7,30,210,5,1149745.9,156.0,286.9,546204,150455,2915258218,11355851543,0.0048
N8,8,30,240,1,1150890.7,156.6,286.7,564281,161489,2915271159,11666468135,0.0048
N8,8,30,240,2,1151929.4,157.0,291.0,544248,157795,2917356248,11570320646,0.0047
N8,8,30,240,3,1150315.7,157.3,299.1,541630,154764,2911902303,11563993513,0.0047
N8,8,30,240,4,1149688.7,157.8,295.7,532941,153160,2915981967,11564388849,0.0046
N8,8,30,240,5,1149205.7,157.2,290.1,565636,163325,2924350033,11595066650,0.0049
N9,9,30,270,1,1152256.8,155.5,284.5,540236,135577,2851516852,11067015182,0.0049
N9,9,30,270,2,1152606.3,155.3,277.1,525899,134320,2855226125,11094236424,0.0047
N9,9,30,270,3,1153003.9,155.0,275.2,556400,145092,2862499194,11097621033,0.0050
N9,9,30,270,4,1152343.0,155.2,278.3,555138,144939,2867339365,11051377999,0.0050
N9,9,30,270,5,1150766.3,155.5,282.9,524231,141831,2870508274,11001318954,0.0048
N10,10,30,300,1,1206855.0,145.5,252.6,610036,159999,2921212979,11143308606,0.0055
N10,10,30,300,2,1206794.9,145.6,250.7,612831,166458,2923645712,11209911505,0.0055
N10,10,30,300,3,1206138.9,145.7,298.4,613276,166949,2913561083,11115038695,0.0055
N10,10,30,300,4,1205601.3,146.0,264.5,614144,161896,2901607817,11119502641,0.0055
N10,10,30,300,5,1205687.5,145.4,256.0,616248,163322,2913969594,11126637914,0.0055
N15,15,30,450,1,1326041.0,127.3,218.8,475233,134226,3043184207,12947255352,0.0037
N15,15,30,450,2,1340252.4,129.1,232.4,765404,210254,3085696108,12184959190,0.0063
N15,15,30,450,3,1342599.8,128.9,221.2,781239,210442,3084157064,12251898140,0.0064
N15,15,30,450,4,1337679.3,128.8,228.8,738610,199108,3070541269,12331970493,0.0060
N15,15,30,450,5,1337492.6,129.2,233.4,740792,204325,3070360871,12309499630,0.0060
N20,20,30,600,1,1394731.6,123.6,207.5,795093,210911,3057104872,12566633934,0.0063
