label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,futex_count,futex_per_req
master,master,30,0,1,877005.6,207.6,339.0,87110760,1.655458
master,master,30,0,2,876625.2,207.8,339.2,87030848,1.654657
master,master,30,0,3,876758.6,208.7,339.1,87055438,1.654873
master,master,30,0,4,877393.7,207.2,338.3,87238488,1.657152
master,master,30,0,5,876507.8,207.9,338.9,87114490,1.656469
N0,0,30,0,1,1088784.5,161.5,306.9,17133335,0.262270
N0,0,30,0,2,1087745.0,162.1,308.3,17202596,0.263582
N0,0,30,0,3,1088549.9,160.9,305.7,17088196,0.261635
N0,0,30,0,4,1087292.5,161.4,306.3,17261704,0.264598
N0,0,30,0,5,1088168.1,160.9,305.3,17155977,0.262765
N1,1,30,30,1,1135273.6,151.8,277.9,10932336,0.160495
N1,1,30,30,2,1135411.4,152.0,280.8,10927688,0.160407
N1,1,30,30,3,1137026.2,151.3,267.6,10808303,0.158429
N1,1,30,30,4,1134564.2,152.8,292.7,11041520,0.162199
N1,1,30,30,5,1135248.5,152.4,290.2,10969408,0.161043
N2,2,30,60,1,1078029.0,157.4,308.1,7125030,0.110155
N2,2,30,60,2,1078248.8,157.3,309.4,7141006,0.110380
N2,2,30,60,3,1077468.3,158.4,311.4,7166260,0.110850
N2,2,30,60,4,1078338.2,156.0,304.8,7090922,0.109596
N2,2,30,60,5,1078673.3,156.2,305.7,7136228,0.110262
N3,3,30,90,1,1052973.8,165.1,310.8,8277711,0.131021
N3,3,30,90,2,1053899.2,164.6,311.8,8186672,0.129466
N3,3,30,90,3,1055396.1,163.3,307.7,8153167,0.128754
N3,3,30,90,4,1056187.4,163.1,308.3,8151877,0.128637
N3,3,30,90,5,1055885.3,163.6,309.1,8163281,0.128854
N4,4,30,120,1,1128388.6,147.4,297.8,4061642,0.059992
N4,4,30,120,2,1128729.0,146.4,281.3,4062132,0.059981
N4,4,30,120,3,1128939.9,146.3,286.0,4056364,0.059885
N4,4,30,120,4,1130318.4,144.8,250.9,4042280,0.059604
N4,4,30,120,5,1128944.0,147.2,298.9,4073111,0.060132
N5,5,30,150,1,1129746.2,145.3,272.3,3599596,0.053103
N5,5,30,150,2,1130091.6,145.4,291.0,3615605,0.053323
N5,5,30,150,3,1128965.5,145.8,289.2,3644700,0.053806
N5,5,30,150,4,1130333.4,146.1,294.3,3612149,0.053261
N5,5,30,150,5,1129412.5,145.9,287.8,3649852,0.053861
N6,6,30,180,1,1232685.0,132.6,248.5,2682323,0.036267
N6,6,30,180,2,1230707.6,133.5,250.7,2690066,0.036430
N6,6,30,180,3,1229399.2,133.7,258.6,2702349,0.036635
N6,6,30,180,4,1239199.0,128.2,192.2,1835881,0.024692
N6,6,30,180,5,1231208.6,133.0,241.1,2691532,0.036435
N7,7,30,210,1,1232287.6,133.2,246.0,2787043,0.037695
N7,7,30,210,2,1231911.3,133.4,252.2,2796602,0.037836
N7,7,30,210,3,1233700.5,132.4,238.9,2753150,0.037194
N7,7,30,210,4,1232951.9,133.0,243.4,2768907,0.037429
N7,7,30,210,5,1232537.4,133.1,239.9,2768143,0.037431
N8,8,30,240,1,1139448.0,144.6,289.2,2716630,0.039736
N8,8,30,240,2,1139355.4,144.3,280.3,2724164,0.039849
N8,8,30,240,3,1156822.8,140.4,217.9,2205927,0.031781
N8,8,30,240,4,1139363.8,144.6,282.5,2720380,0.039794
N8,8,30,240,5,1139937.5,144.4,283.0,2719362,0.039759
N9,9,30,270,1,1176499.9,138.9,231.2,2058131,0.029156
N9,9,30,270,2,1170979.5,140.0,249.4,2139645,0.030454
N9,9,30,270,3,1172633.1,139.5,232.7,2122298,0.030164
N9,9,30,270,4,1171285.0,139.7,235.5,2129479,0.030301
N9,9,30,270,5,1173703.3,139.6,248.3,2114658,0.030028
N10,10,30,300,1,1280454.4,126.8,210.6,1220622,0.015888
N10,10,30,300,2,1279483.2,127.0,230.1,1242225,0.016181
N10,10,30,300,3,1280829.1,126.7,213.6,1223212,0.015917
N10,10,30,300,4,1279911.5,126.7,209.9,1220927,0.015899
N10,10,30,300,5,1280170.4,126.6,204.5,1216104,0.015833
N15,15,30,450,1,1351528.4,118.3,214.2,445832,0.005498
N15,15,30,450,2,1352829.2,117.8,199.7,439018,0.005409
N15,15,30,450,3,1352974.5,117.9,204.8,438123,0.005397
N15,15,30,450,4,1352649.7,118.4,221.3,444973,0.005483
N15,15,30,450,5,1351439.9,118.1,210.2,443999,0.005476
N20,20,30,600,1,1332203.6,120.7,223.0,336285,0.004207
N20,20,30,600,2,1333483.3,119.3,193.8,318346,0.003979
N20,20,30,600,3,1330090.1,120.7,214.0,327285,0.004101
N20,20,30,600,4,1330956.2,120.7,220.8,333349,0.004174
N20,20,30,600,5,1331888.5,120.2,213.2,333027,0.004167
N25,25,30,750,1,1412344.6,115.3,182.1,308382,0.003639
N25,25,30,750,2,1413367.1,115.4,188.6,314285,0.003706
N25,25,30,750,3,1399596.6,114.6,166.5,274362,0.003267
N25,25,30,750,4,1413217.7,115.2,174.2,305301,0.003601
N25,25,30,750,5,1414507.0,115.1,171.7,305171,0.003596
N30,30,30,900,1,1380003.8,116.8,182.7,313760,0.003789
N30,30,30,900,2,1379459.8,117.0,190.4,309960,0.003745
N30,30,30,900,3,1379431.4,116.8,180.1,304561,0.003680
N30,30,30,900,4,1379878.5,116.8,180.5,303389,0.003664
N30,30,30,900,5,1379807.5,116.9,195.0,309699,0.003741
N35,35,30,1050,1,1383013.4,116.4,168.4,245430,0.002958
N35,35,30,1050,2,1376229.5,116.7,176.8,250809,0.003037
N35,35,30,1050,3,1376624.2,116.5,165.3,250153,0.003029
N35,35,30,1050,4,1378760.7,116.5,165.7,253929,0.003070
N35,35,30,1050,5,1379313.3,116.6,172.5,255752,0.003090
N40,40,30,1200,1,1398820.7,115.9,177.3,255819,0.003048
N40,40,30,1200,2,1400726.6,115.7,167.1,254256,0.003025
N40,40,30,1200,3,1401722.4,115.6,167.6,247935,0.002948
N40,40,30,1200,4,1402400.1,115.7,166.3,251529,0.002989
