label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,985683.5,207.5,252.1,152318,5421,331083240,1528123614,0.0100
master,master,30,0,2,986755.6,207.4,253.9,174381,7200,330800093,1544682460,0.0113
master,master,30,0,3,985357.7,207.3,251.8,174544,6237,331529874,1518376697,0.0115
N0,0,30,0,1,1134950.5,171.6,205.2,164827,6858,533060750,1602191117,0.0103
N0,0,30,0,2,1131258.7,172.6,205.7,173708,7259,532682859,1597455288,0.0109
N0,0,30,0,3,1132059.9,172.4,205.3,175308,7226,530809020,1606521363,0.0109
N25,25,30,750,1,1311853.7,124.7,137.2,160526,6328,410197509,1415990732,0.0113
N25,25,30,750,2,1324298.2,123.2,134.8,166103,7381,418612802,1434501733,0.0116
N25,25,30,750,3,1315000.9,124.3,136.7,174847,7223,411309578,1421319437,0.0123
N50,50,30,1500,1,1248871.2,138.5,155.3,146485,6006,333531747,1259073736,0.0116
N50,50,30,1500,2,1244822.7,138.8,155.5,129084,5659,335807527,1244769439,0.0104
N50,50,30,1500,3,1250460.1,138.3,155.2,135846,6222,333755077,1253511067,0.0108
N100,100,30,3000,1,1234537.8,152.2,175.3,171686,7147,281633868,1151899813,0.0149
N100,100,30,3000,2,1230199.7,152.5,175.6,168131,7679,286304531,1141893303,0.0147
N100,100,30,3000,3,1236854.2,151.7,173.9,148836,6313,283471360,1155301806,0.0129
N200,200,30,6000,1,1157604.8,183.2,215.0,139458,5921,210719614,920741916,0.0151
N200,200,30,6000,2,1152517.2,183.7,215.5,142390,6087,214187972,922056913,0.0154
N200,200,30,6000,3,1157552.0,183.3,215.0,149979,6273,211413417,921187628,0.0163
