pause_count,run,QPS
0,1,179292.8
0,2,178332.3
0,3,176137.9
0,4,179047.4
0,5,177711.0
0,6,177573.5
0,7,177749.3
0,8,177947.7
0,9,177557.7
0,10,177876.1
10,1,177571.6
10,2,174818.9
10,3,176357.5
10,4,176711.9
10,5,176841.5
10,6,176666.1
10,7,175742.9
10,8,176515.2
10,9,176209.9
10,10,175395.4
40,1,179278.6
40,2,177940.0
40,3,175635.4
40,4,177975.3
40,5,176351.7
40,6,178072.1
40,7,179427.2
40,8,177815.7
40,9,177669.3
40,10,178025.4
100,1,180254.4
100,2,178734.3
100,3,178116.2
100,4,177320.6
100,5,178403.4
100,6,178869.7
100,7,177598.7
100,8,177517.8
100,9,178614.6
100,10,177382.7
