condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,4194304,2400.0,0.0642,0.1367,0.1633,0.2625,0.4783,1.1033,1.6017,2.6300,4.1575,25.3400
N1,4194304,2400.0,0.0617,0.1267,0.1517,0.2533,0.4617,1.0775,1.5717,2.5750,4.0058,36.4175
N2,4194304,2400.0,0.0650,0.1483,0.1733,0.2342,0.4283,1.0508,1.5283,2.4458,3.7633,86.5700
N3,4194304,2400.0,0.0625,0.1250,0.1500,0.2067,0.3983,0.9700,1.4242,2.2375,3.4425,92.3992
N4,4194304,2400.0,0.0642,0.1292,0.1525,0.2075,0.3992,0.9758,1.4250,2.2467,3.4933,40.5142
N5,4194304,2400.0,0.0642,0.1225,0.1425,0.2033,0.3875,0.9192,1.3325,2.0892,3.2497,239.8550
N6,4194304,2400.0,0.0633,0.1333,0.1583,0.2258,0.4083,0.9850,1.4242,2.2558,3.4842,34.6783
N7,4194304,2400.0,0.0650,0.1217,0.1425,0.2058,0.3992,0.9208,1.2942,2.0750,3.2500,135.9783
N8,4194304,2400.0,0.0625,0.1067,0.1350,0.2017,0.3908,0.8808,1.2250,1.9675,3.1475,27.1042
N9,4194304,2400.0,0.0633,0.1208,0.1550,0.2242,0.4067,0.9383,1.3258,2.0967,3.3167,34.3175
N10,4194304,2400.0,0.0633,0.1208,0.1542,0.2275,0.4175,0.9375,1.3358,2.1217,3.3583,83.4908
N15,4194304,2400.0,0.0633,0.1142,0.1508,0.2367,0.4592,0.8983,1.2592,2.1500,3.5308,218.2533
N20,4194304,2400.0,0.0633,0.1033,0.1358,0.2400,0.5025,0.8958,1.2033,2.1242,3.5425,223.3517
N25,4194304,2400.0,0.0633,0.0958,0.1258,0.2342,0.5067,0.8717,1.1833,2.0700,3.3708,30.3342
N30,4194304,2400.0,0.0633,0.0950,0.1258,0.2408,0.5125,0.8950,1.2142,2.1025,3.4108,215.2825
N35,4194304,2400.0,0.0625,0.0950,0.1258,0.2458,0.4992,0.9083,1.2042,2.1033,3.5008,34.5100
N40,4194304,2400.0,0.0633,0.0950,0.1300,0.2592,0.5250,0.9700,1.2800,2.2358,3.7072,36.5333
N45,4194304,2400.0,0.0625,0.1025,0.1350,0.2725,0.5225,0.9958,1.2800,2.2075,3.6567,88.8867
N50,4194304,2400.0,0.0633,0.0992,0.1333,0.2767,0.5350,1.0042,1.3000,2.2567,3.6892,124.8967
N55,4194304,2400.0,0.0642,0.1008,0.1342,0.2842,0.5392,1.0117,1.3500,2.2925,3.7492,44.4525
N60,4194304,2400.0,0.0633,0.0942,0.1283,0.2800,0.5433,1.0050,1.3758,2.2758,3.7500,48.7283
N65,4194304,2400.0,0.0633,0.0950,0.1367,0.2858,0.5433,1.0108,1.4408,2.2933,3.8117,53.5125
N70,4194304,2400.0,0.0633,0.0933,0.1400,0.2908,0.5550,1.0267,1.4925,2.3233,3.8717,52.6408
N75,4194304,2400.0,0.0633,0.0900,0.1333,0.2908,0.5567,1.0292,1.4983,2.3467,3.9397,58.2700
N80,4194304,2400.0,0.0617,0.0867,0.1283,0.2883,0.5467,1.0125,1.4767,2.3392,3.9233,61.8417
N85,4194304,2400.0,0.0633,0.0892,0.1392,0.2983,0.5617,1.0433,1.5158,2.4158,4.0475,63.9133
N90,4194304,2400.0,0.0642,0.0842,0.1258,0.2925,0.5417,1.0025,1.4858,2.3675,3.9817,96.5192
N95,4194304,2400.0,0.0625,0.0850,0.1342,0.2983,0.5533,1.0292,1.5100,2.4258,4.0683,71.8883
N100,4194304,2400.0,0.0625,0.0850,0.1383,0.3008,0.5542,1.0333,1.5200,2.4508,4.1167,215.2183
N150,4194304,2400.0,0.0633,0.0800,0.1442,0.3100,0.5658,1.0817,1.6508,3.1442,4.5175,105.6708
N200,4194304,2400.0,0.0625,0.0775,0.1292,0.3092,0.5542,1.0908,1.7942,3.7725,5.0192,135.2700
