pause_count,run,QPS
0,1,176477.9
0,2,176872.7
0,3,176476.2
0,4,174476.5
0,5,172873.4
10,1,179611.1
10,2,179290.3
10,3,180799.0
10,4,180241.2
10,5,180302.0
30,1,181728.7
30,2,179466.0
30,3,182146.0
30,4,181204.9
30,5,176510.5
50,1,180880.2
50,2,181137.0
50,3,178446.8
50,4,178785.2
50,5,180097.5
70,1,179818.3
70,2,179783.7
70,3,179402.6
70,4,177991.9
70,5,179049.2
100,1,178035.5
100,2,178666.7
100,3,179922.9
100,4,178206.5
100,5,180290.3
