label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
N4,4,30,120,10,1302437.2,124.4,149.9,851624,52139,1413668912,6967665536,0.0122
N5,5,30,150,1,1315841.4,123.1,148.5,1146726,74691,1275992128,6750065904,0.0170
N5,5,30,150,2,1315412.0,123.9,150.3,964836,59634,1279147326,6701805408,0.0144
N5,5,30,150,3,1317207.8,123.5,149.9,860418,51952,1283933476,6657337835,0.0129
N5,5,30,150,4,1315070.3,123.7,150.0,942113,59459,1276580405,6709705672,0.0140
N5,5,30,150,5,1316201.9,122.6,147.5,1227057,82353,1279403347,6673018778,0.0184
N5,5,30,150,6,1316489.9,122.7,148.3,1185721,79456,1275857138,6650161468,0.0178
N5,5,30,150,7,1316237.0,123.6,150.2,866089,54057,1285576988,6628252473,0.0131
N5,5,30,150,8,1318372.4,119.5,142.5,840441,54720,1286374342,6614955233,0.0127
N5,5,30,150,9,1315600.4,123.7,150.1,906323,56519,1279385428,6643803496,0.0136
N5,5,30,150,10,1316874.7,122.0,147.1,1036418,67881,1280198531,6646707906,0.0156
N6,6,30,180,1,1356885.8,117.0,142.0,1382735,99312,1259552831,6849734311,0.0202
N6,6,30,180,2,1363569.5,117.0,143.0,1321284,92476,1261607589,6812369059,0.0194
N6,6,30,180,3,1364341.2,116.9,142.6,1310509,88727,1262274333,6769705200,0.0194
N6,6,30,180,4,1365158.2,116.9,142.7,1377140,96288,1261474253,6806809509,0.0202
N6,6,30,180,5,1364956.6,116.8,142.0,1118717,73494,1267768638,6780171099,0.0165
N6,6,30,180,6,1365515.7,116.9,142.4,1098752,72435,1266934090,6727695791,0.0163
N6,6,30,180,7,1363675.5,117.0,144.0,1186797,78268,1266882069,6785944887,0.0175
N6,6,30,180,8,1365885.7,117.0,144.2,1140886,74418,1263356321,6746425173,0.0169
N6,6,30,180,9,1364756.7,116.9,143.1,1107589,73597,1265314588,6767972296,0.0164
N6,6,30,180,10,1365396.9,116.9,142.5,1532969,111248,1259472242,6770188780,0.0226
