condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,4194304,2200.0,0.0700,0.2018,0.2973,0.4245,0.7500,1.6882,2.4636,4.0345,6.5909,37.0591
N1,4194304,2200.0,0.0727,0.1955,0.2691,0.3809,0.6245,1.5191,2.2173,3.5891,5.8267,348.4473
N2,4194304,2200.0,0.0736,0.2009,0.2691,0.3691,0.5909,1.4627,2.1036,3.3909,5.5355,113.7955
N3,4194304,2200.0,0.0709,0.1909,0.2591,0.3645,0.5809,1.4055,2.0045,3.2536,5.4788,3045.5218
N4,4194304,2200.0,0.0745,0.1900,0.2545,0.3627,0.6055,1.3900,1.9773,3.2200,5.4418,36.3755
N5,4194304,2200.0,0.0755,0.1873,0.2445,0.3573,0.6300,1.3436,1.9136,3.2064,5.4073,53.4227
N6,4194304,2200.0,0.0745,0.1818,0.2373,0.3555,0.6573,1.3336,1.9018,3.2209,5.4845,57.2164
N7,4194304,2200.0,0.0755,0.1836,0.2364,0.3582,0.6827,1.3391,1.8855,3.1827,5.4725,48.0991
N8,4194304,2200.0,0.0718,0.1727,0.2255,0.3473,0.6882,1.3073,1.8164,3.0464,5.3255,86.1945
N9,4194304,2200.0,0.0727,0.1709,0.2200,0.3445,0.6945,1.3082,1.7809,2.9936,5.2718,42.2036
N10,4194304,2200.0,0.0736,0.1691,0.2136,0.3373,0.6918,1.2909,1.7491,2.9464,5.2588,327.5709
N11,4194304,2200.0,0.0709,0.1709,0.2127,0.3373,0.6909,1.2873,1.7473,2.9373,5.2600,45.1809
N12,4194304,2200.0,0.0727,0.1709,0.2127,0.3409,0.6945,1.2818,1.7582,2.9882,5.2888,557.0455
N13,4194304,2200.0,0.0736,0.1718,0.2127,0.3473,0.6955,1.2809,1.7818,3.0409,5.3182,378.1464
N14,4194304,2200.0,0.0718,0.1673,0.2045,0.3509,0.6973,1.2927,1.7827,3.0636,5.3573,59.4600
N15,4194304,2200.0,0.0773,0.1736,0.2073,0.3555,0.7036,1.3218,1.8027,3.0809,5.3209,51.9009
N16,4194304,2200.0,0.0745,0.1709,0.2045,0.3564,0.7027,1.3391,1.8000,3.0955,5.3564,116.6718
N17,4194304,2200.0,0.0727,0.1691,0.2036,0.3618,0.7073,1.3500,1.8009,3.1018,5.4434,131.2136
N18,4194304,2200.0,0.0745,0.1727,0.2082,0.3700,0.7182,1.3727,1.8164,3.1391,5.4788,60.9564
N20,4194304,2200.0,0.0718,0.1636,0.2027,0.3773,0.7309,1.3655,1.8182,3.1636,5.4591,60.1009
N22,4194304,2200.0,0.0718,0.1582,0.2027,0.3818,0.7345,1.3727,1.8527,3.1918,5.4791,70.5327
N24,4194304,2200.0,0.0727,0.1573,0.2055,0.3845,0.7445,1.3882,1.9209,3.2036,5.4891,66.5264
N26,4194304,2200.0,0.0755,0.1536,0.2055,0.3845,0.7491,1.4055,1.9636,3.2245,5.6209,126.4445
N28,4194304,2200.0,0.0718,0.1445,0.2000,0.3827,0.7473,1.3991,1.9973,3.2082,5.5418,366.7173
N30,4194304,2200.0,0.0764,0.1391,0.1964,0.3818,0.7491,1.3991,1.9973,3.2209,5.6306,371.0891
N33,4194304,2200.0,0.0755,0.1373,0.2000,0.3827,0.7500,1.4027,1.9918,3.2445,5.6770,366.3800
N36,4194304,2200.0,0.0736,0.1318,0.1909,0.3818,0.7355,1.3827,1.9873,3.2655,5.7209,95.2455
N40,4194304,2200.0,0.0736,0.1273,0.1891,0.3836,0.7345,1.3873,2.0018,3.3127,5.8164,104.3455
N45,4194304,2200.0,0.0755,0.1227,0.1927,0.3864,0.7418,1.4091,2.0518,3.4418,5.9809,118.7227
N50,4194304,2200.0,0.0709,0.1164,0.1882,0.3855,0.7391,1.4018,2.0545,3.6791,6.0352,373.8927
N55,4194304,2200.0,0.0736,0.1155,0.1909,0.3882,0.7436,1.4282,2.1091,3.9527,6.1425,134.7700
N60,4194304,2200.0,0.0745,0.1091,0.1882,0.3882,0.7409,1.4336,2.1436,4.2200,6.2555,145.3736
N70,4194304,2200.0,0.0755,0.0982,0.1882,0.3882,0.7336,1.4400,2.2336,4.5191,6.5109,164.6036
N80,4194304,2200.0,0.0773,0.0973,0.1855,0.3945,0.7309,1.4491,2.2945,4.8018,6.8709,191.7918
N90,4194304,2200.0,0.0727,0.0936,0.1845,0.3882,0.7236,1.4464,2.3518,5.0664,7.1770,205.6627
N100,4194304,2200.0,0.0718,0.0936,0.1836,0.3891,0.7155,1.4373,2.4073,5.3936,7.6473,246.5400
N125,4194304,2200.0,0.0764,0.0909,0.1855,0.3855,0.7073,1.4509,2.4891,5.9918,8.8209,283.9727
N150,4194304,2200.0,0.0764,0.0873,0.1809,0.3855,0.7018,1.5018,2.8364,6.6545,10.4809,334.3273
N175,4194304,2200.0,0.0755,0.0864,0.1882,0.3873,0.7027,1.5318,3.1082,8.1009,12.1436,384.0973
N200,4194304,2200.0,0.0755,0.0873,0.1873,0.3873,0.6973,1.4955,2.9791,8.1109,13.8036,427.5400
