label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,712575.4,3199.0,3290.1,77301,29754,625487875,2865239461,0.0027
master,master,30,0,2,706336.8,3200.0,3290.1,82309,31877,624957176,2833722050,0.0029
master,master,30,0,3,709134.4,3199.6,3290.0,83101,32333,623603268,2857885252,0.0029
N0,0,30,0,1,800649.7,3186.7,3288.7,25331,6640,735110098,3330947458,0.0008
N0,0,30,0,2,805701.8,3186.0,3288.7,39419,12765,742384060,3366320827,0.0012
N0,0,30,0,3,734836.2,6024.8,6392.0,236217,94176,645408639,2992564191,0.0079
N25,25,30,750,1,825999.1,3183.5,3288.6,192937,67174,647214953,2580503749,0.0075
N25,25,30,750,2,850255.0,3180.2,3288.3,100656,33093,687717137,2696817963,0.0037
N25,25,30,750,3,874009.0,3176.4,3287.8,32190,8832,713985925,2867855313,0.0011
N50,50,30,1500,1,851353.5,3179.8,3287.6,15945,4760,710350570,2956870015,0.0005
N50,50,30,1500,2,853933.9,3179.0,3287.5,14249,3564,723911858,3006923443,0.0005
N50,50,30,1500,3,832070.4,3182.7,3288.6,87869,28365,682348187,2845499494,0.0031
N100,100,30,3000,1,845341.5,3180.5,3288.2,16007,4135,684301812,2803553118,0.0006
N100,100,30,3000,2,839292.6,5968.0,6385.2,132799,46744,683613795,2715534724,0.0049
N100,100,30,3000,3,846551.8,3180.6,3288.1,15305,3960,691042930,2801685357,0.0005
N200,200,30,6000,1,834256.9,3182.0,3288.0,27130,7860,676918642,2704956134,0.0010
N200,200,30,6000,2,832417.9,3182.1,3288.5,16819,4297,652774573,2628704680,0.0006
N200,200,30,6000,3,856450.6,5958.1,6382.7,63860,20637,683131344,2707571048,0.0024
