label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,1136159.8,182.1,214.0,169310,16585,109438518,792900814,0.0214
master,master,30,0,2,1138869.9,180.8,210.1,169971,15413,109906206,789675698,0.0215
N0,0,30,0,1,1056867.4,177.2,205.9,177084,17453,209975997,956871981,0.0185
N0,0,30,0,2,1058086.4,177.1,205.4,75537,5290,210052842,954007186,0.0079
N4,4,30,120,1,1327325.0,119.6,146.9,145484,9765,225230420,1153302114,0.0126
N4,4,30,120,2,1332328.1,117.3,141.8,163075,11650,225333502,1146616383,0.0142
N30,30,30,900,1,1468565.4,112.3,134.7,303070,24360,154449933,1024496621,0.0296
N30,30,30,900,2,1471913.2,112.2,135.5,302721,24503,155234955,1026381615,0.0295
