condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,2097152,2400.0,0.0483,0.0917,0.1533,0.3300,0.6450,1.2183,1.9550,6.1017,9.7064,228.2700
N25,2097152,2400.0,0.0550,0.0883,0.1433,0.3267,0.6100,1.1317,1.8217,5.8300,9.3364,220.5083
N50,2097152,2400.0,0.0550,0.0883,0.1500,0.3533,0.6067,1.1800,1.9100,5.6900,9.2314,225.0350
N100,2097152,2400.0,0.0617,0.0900,0.1333,0.3467,0.6250,1.1617,1.9483,5.5317,9.0281,229.1033
N200,2097152,2400.0,0.0533,0.0867,0.1333,0.3683,0.6550,1.2867,2.0467,5.3767,8.9217,222.3217
