condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,2097152,2400.0,0.0633,0.0792,0.1292,0.2717,0.4942,0.9367,1.4717,4.2917,7.3640,37.7825
N25,2097152,2400.0,0.0633,0.0767,0.1150,0.2958,0.5367,0.9617,1.5508,4.1117,7.2397,48.4517
N50,2097152,2400.0,0.0617,0.0742,0.1158,0.3100,0.5417,1.0525,1.6442,4.0283,7.0607,49.5767
N100,2097152,2400.0,0.0633,0.0733,0.1133,0.3117,0.5417,1.0925,1.8708,3.9200,6.9374,71.3267
N200,2097152,2400.0,0.0625,0.0733,0.1142,0.3108,0.5367,1.2150,2.5875,4.3808,7.1933,247.4025
