condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,4194304,2400.0,0.0500,0.1500,0.2083,0.3050,0.5733,1.2483,1.8233,3.0400,5.2462,230.6033
N1,4194304,2400.0,0.0450,0.1467,0.1950,0.2783,0.5067,1.1600,1.6883,2.7900,4.9595,230.7683
N2,4194304,2400.0,0.0450,0.1483,0.1917,0.2717,0.5000,1.1483,1.6700,2.7667,4.9550,215.8983
N3,4194304,2400.0,0.0500,0.1600,0.2183,0.2933,0.5450,1.2400,1.8067,3.0183,5.2600,244.7883
N4,4194304,2400.0,0.0517,0.1617,0.2167,0.2833,0.4900,1.1833,1.7050,2.7683,4.6945,216.0217
N5,4194304,2400.0,0.0467,0.1300,0.1800,0.2450,0.4417,1.0517,1.5217,2.4833,4.3312,222.3100
N6,4194304,2400.0,0.0600,0.1500,0.1950,0.2633,0.4633,1.1100,1.6133,2.6217,4.4678,223.8617
N7,4194304,2400.0,0.0467,0.1283,0.1717,0.2450,0.4500,1.0683,1.5450,2.5217,4.5783,220.4383
N8,4194304,2400.0,0.0467,0.1300,0.1733,0.2400,0.4367,1.0517,1.5217,2.4733,4.4533,270.6150
N9,4194304,2400.0,0.0567,0.1300,0.1717,0.2367,0.4283,1.0367,1.4900,2.4167,4.3867,217.0800
N10,4194304,2400.0,0.0533,0.1450,0.1933,0.2600,0.4500,1.0967,1.5850,2.5700,4.4733,225.1300
N15,4194304,2400.0,0.0533,0.1483,0.1917,0.2500,0.4250,1.0583,1.5083,2.4400,4.2133,216.6317
N20,4194304,2400.0,0.0633,0.1467,0.1900,0.2517,0.4167,1.0583,1.4967,2.4283,4.2817,215.8783
N25,4194304,2400.0,0.0517,0.1367,0.1783,0.2433,0.4183,1.0233,1.4250,2.3133,4.1828,221.7967
N30,4194304,2400.0,0.0517,0.1367,0.1783,0.2500,0.4383,1.0417,1.4483,2.3350,4.0200,227.2650
N35,4194304,2400.0,0.0600,0.1367,0.1733,0.2450,0.4433,1.0133,1.4283,2.3317,4.1617,232.4183
N40,4194304,2400.0,0.0567,0.1233,0.1550,0.2300,0.4550,0.9750,1.3500,2.2450,4.0500,227.8050
N45,4194304,2400.0,0.0567,0.1233,0.1567,0.2350,0.4650,0.9650,1.3517,2.2633,4.1650,282.6250
N50,4194304,2400.0,0.0500,0.1233,0.1550,0.2450,0.4900,0.9783,1.3667,2.3317,4.3317,217.3733
N55,4194304,2400.0,0.0583,0.1233,0.1567,0.2483,0.4983,0.9717,1.3550,2.3133,4.2917,224.5533
N60,4194304,2400.0,0.0533,0.1367,0.1700,0.2633,0.5283,1.0200,1.4100,2.4050,4.3033,228.0933
N65,4194304,2400.0,0.0633,0.1350,0.1683,0.2700,0.5500,1.0417,1.4167,2.4367,4.4200,215.7900
N70,4194304,2400.0,0.0633,0.1333,0.1650,0.2700,0.5567,1.0433,1.4083,2.4133,4.4662,220.9267
N75,4194304,2400.0,0.0583,0.1200,0.1467,0.2533,0.5433,1.0017,1.3450,2.2949,4.1917,215.2433
N80,4194304,2400.0,0.0500,0.1200,0.1450,0.2467,0.5350,0.9850,1.3217,2.2433,4.0700,221.7067
N85,4194304,2400.0,0.0550,0.1333,0.1617,0.2567,0.5500,1.0100,1.3700,2.3283,4.1850,215.8417
N90,4194304,2400.0,0.0550,0.1217,0.1467,0.2500,0.5367,0.9800,1.3283,2.3117,4.4428,219.8950
N95,4194304,2400.0,0.0617,0.1350,0.1633,0.2683,0.5667,1.0383,1.4233,2.4267,4.4650,225.5817
N100,4194304,2400.0,0.0483,0.1217,0.1467,0.2567,0.5367,0.9667,1.3417,2.2950,4.1800,267.5650
N150,4194304,2400.0,0.0533,0.1317,0.1583,0.3100,0.6000,1.1117,1.5050,2.5983,4.6450,226.6083
N200,4194304,2400.0,0.0500,0.1150,0.1450,0.3150,0.6133,1.1000,1.5533,2.6183,4.6900,226.6900
