label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,983781.6,207.8,247.6,51831,1422,330001273,1516090350,0.0034
master,master,30,0,2,983131.0,207.7,247.3,54792,1640,328467591,1509782459,0.0036
master,master,30,0,3,983616.6,207.9,247.6,63885,1964,328216721,1515734204,0.0042
N0,0,30,0,1,1151939.9,168.4,198.9,72992,2910,537062756,1620110996,0.0045
N0,0,30,0,2,1153211.1,168.0,197.4,80816,3110,537603989,1616275704,0.0050
N0,0,30,0,3,1153399.0,167.7,196.7,79812,3233,539903031,1612401244,0.0049
N25,25,30,750,1,1291246.6,127.6,150.1,113336,4476,405197719,1397735308,0.0081
N25,25,30,750,2,1291950.9,127.6,151.4,134127,5530,404515662,1399808503,0.0096
N25,25,30,750,3,1292506.3,127.5,149.5,127037,5435,405421079,1400899457,0.0091
N50,50,30,1500,1,1236186.7,140.9,168.5,113904,4450,332718421,1251082205,0.0091
N50,50,30,1500,2,1236713.6,140.8,168.7,118075,4855,332547445,1245335804,0.0095
N50,50,30,1500,3,1237234.4,140.8,169.3,118130,4841,331925436,1244624581,0.0095
N100,100,30,3000,1,1224002.1,153.0,198.1,209142,10681,278831732,1155727233,0.0181
N100,100,30,3000,2,1222960.0,154.8,199.7,158859,7306,283488825,1145059035,0.0139
N100,100,30,3000,3,1223314.4,154.7,198.9,143728,5763,281942079,1142882116,0.0126
N200,200,30,6000,1,1148400.2,186.7,273.1,106782,4316,210637029,926729659,0.0115
N200,200,30,6000,2,1148402.0,186.6,273.7,112885,4846,210027620,924069598,0.0122
N200,200,30,6000,3,1149089.8,186.7,274.3,115682,4751,212100890,927312678,0.0125
