pause_count,run,QPS
0,1,179690.8
0,2,181045.6
0,3,180233.5
0,4,181027.4
0,5,181350.5
10,1,181220.2
10,2,180653.0
10,3,181443.8
10,4,181606.1
10,5,181586.7
30,1,182647.9
30,2,183492.9
30,3,179864.8
30,4,183084.4
30,5,180795.4
50,1,178370.2
50,2,179414.4
50,3,182045.3
50,4,180213.4
50,5,180756.5
70,1,182951.1
70,2,181709.2
70,3,180789.8
70,4,183375.3
70,5,180624.6
100,1,179787.0
100,2,182106.2
100,3,182337.0
100,4,179838.0
100,5,181398.6
