condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,4194304,2400.0,0.0642,0.1408,0.1692,0.2642,0.4783,1.1150,1.6167,2.6667,4.2475,30.6275
N1,4194304,2400.0,0.0592,0.1317,0.1592,0.2575,0.4683,1.1042,1.6100,2.6342,4.1042,91.6442
N2,4194304,2400.0,0.0642,0.1333,0.1567,0.2158,0.4092,0.9908,1.4442,2.2850,3.5317,92.1775
N3,4194304,2400.0,0.0650,0.1200,0.1442,0.2033,0.3925,0.9400,1.3800,2.1942,3.4100,71.4158
N4,4194304,2400.0,0.0642,0.1275,0.1508,0.2050,0.3925,0.9567,1.3950,2.2000,3.4258,41.7550
N5,4194304,2400.0,0.0625,0.1250,0.1458,0.2067,0.3883,0.9250,1.3367,2.0967,3.2517,222.7133
N6,4194304,2400.0,0.0650,0.1142,0.1367,0.2008,0.3825,0.8842,1.2675,2.0242,3.1950,96.9133
N7,4194304,2400.0,0.0633,0.1150,0.1358,0.2042,0.3917,0.8967,1.2508,2.0083,3.1567,218.3100
N8,4194304,2400.0,0.0642,0.1200,0.1508,0.2150,0.4133,0.9467,1.3275,2.1108,3.3342,90.0458
N9,4194304,2400.0,0.0642,0.1200,0.1550,0.2233,0.4125,0.9458,1.3392,2.1267,3.3842,23.0258
N10,4194304,2400.0,0.0642,0.1092,0.1383,0.2158,0.4092,0.8875,1.2600,2.0300,3.2608,17.8825
N11,4194304,2400.0,0.0633,0.1042,0.1308,0.2092,0.4117,0.8550,1.2133,1.9875,3.1842,72.2650
N12,4194304,2400.0,0.0642,0.1083,0.1383,0.2175,0.4242,0.8708,1.2433,2.0400,3.2842,85.1350
N13,4194304,2400.0,0.0642,0.1125,0.1467,0.2275,0.4408,0.9050,1.2958,2.1325,3.4250,20.3650
N14,4194304,2400.0,0.0642,0.1050,0.1383,0.2242,0.4417,0.8750,1.2408,2.0983,3.4067,18.1850
N15,4194304,2400.0,0.0633,0.1000,0.1325,0.2275,0.4483,0.8567,1.1992,2.0708,3.4481,38.7400
N16,4194304,2400.0,0.0642,0.1033,0.1367,0.2333,0.4625,0.8833,1.2333,2.1317,3.4981,22.1208
N17,4194304,2400.0,0.0625,0.1000,0.1333,0.2333,0.4658,0.8750,1.2042,2.1017,3.5017,19.9200
N18,4194304,2400.0,0.0642,0.0992,0.1317,0.2400,0.4783,0.8750,1.1958,2.1058,3.5208,215.0017
N20,4194304,2400.0,0.0633,0.0967,0.1275,0.2383,0.4950,0.8800,1.1883,2.1083,3.5467,220.5450
N22,4194304,2400.0,0.0633,0.1083,0.1417,0.2433,0.5217,0.9150,1.2258,2.1758,3.5975,210.1600
N24,4194304,2400.0,0.0633,0.0958,0.1275,0.2367,0.5142,0.8858,1.2033,2.1142,3.4522,219.6142
N26,4194304,2400.0,0.0625,0.1008,0.1333,0.2392,0.5108,0.8917,1.2092,2.1067,3.4283,28.1475
N28,4194304,2400.0,0.0633,0.0983,0.1300,0.2383,0.5042,0.8825,1.1908,2.0792,3.3867,30.4017
N30,4194304,2400.0,0.0633,0.1075,0.1400,0.2467,0.5242,0.9183,1.2425,2.1542,3.5081,30.7667
N33,4194304,2400.0,0.0633,0.1025,0.1342,0.2483,0.5183,0.9175,1.2442,2.1600,3.5508,30.2233
N36,4194304,2400.0,0.0633,0.0975,0.1300,0.2517,0.5133,0.9300,1.2333,2.1533,3.5783,215.4758
N40,4194304,2400.0,0.0633,0.0958,0.1317,0.2608,0.5125,0.9617,1.2608,2.1967,3.6725,75.0108
N45,4194304,2400.0,0.0633,0.0992,0.1333,0.2708,0.5233,0.9967,1.2800,2.2200,3.6708,41.3658
N50,4194304,2400.0,0.0633,0.0942,0.1300,0.2742,0.5292,0.9950,1.2925,2.2508,3.6942,69.4867
N55,4194304,2400.0,0.0642,0.1042,0.1400,0.2875,0.5458,1.0233,1.3450,2.3083,3.7825,45.5017
N60,4194304,2400.0,0.0633,0.0983,0.1392,0.2875,0.5483,1.0175,1.3925,2.2925,3.7622,87.0408
N70,4194304,2400.0,0.0625,0.0892,0.1267,0.2817,0.5417,0.9992,1.4633,2.2675,3.7950,211.5325
N80,4194304,2400.0,0.0650,0.0892,0.1367,0.2917,0.5517,1.0217,1.4875,2.3450,3.9283,61.8592
N90,4194304,2400.0,0.0625,0.0850,0.1308,0.2950,0.5450,1.0117,1.4900,2.3750,3.9942,85.5067
N100,4194304,2400.0,0.0625,0.0825,0.1275,0.2958,0.5458,1.0125,1.5000,2.4175,4.0267,73.2492
N125,4194304,2400.0,0.0633,0.0792,0.1242,0.2983,0.5425,1.0142,1.5300,2.7333,4.1667,85.8175
N150,4194304,2400.0,0.0625,0.0783,0.1342,0.3058,0.5567,1.0683,1.6350,3.1542,4.4983,105.5083
N175,4194304,2400.0,0.0633,0.0783,0.1308,0.3075,0.5542,1.0775,1.7008,3.5842,4.7192,119.4200
N200,4194304,2400.0,0.0633,0.0767,0.1242,0.3058,0.5450,1.0792,1.7867,3.7617,5.0031,133.3850
