label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,957114.5,195.2,225.0,N/A,N/A,N/A,N/A,N/A
master,master,30,0,2,956834.6,195.2,224.9,N/A,N/A,N/A,N/A,N/A
master,master,30,0,3,956541.5,195.0,224.8,N/A,N/A,N/A,N/A,N/A
master,master,30,0,4,956166.8,195.3,224.9,N/A,N/A,N/A,N/A,N/A
master,master,30,0,5,956412.2,195.3,225.0,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,1,1103745.3,167.5,190.3,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,2,1103611.1,167.5,190.5,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,3,1104126.7,167.5,189.8,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,4,1104043.4,167.6,190.8,N/A,N/A,N/A,N/A,N/A
N0,0,30,0,5,1104312.2,167.6,190.6,N/A,N/A,N/A,N/A,N/A
N1,1,30,30,1,1068115.5,155.8,183.4,N/A,N/A,N/A,N/A,N/A
N1,1,30,30,2,1067736.8,155.6,182.9,N/A,N/A,N/A,N/A,N/A
N1,1,30,30,3,1066701.1,155.7,182.9,N/A,N/A,N/A,N/A,N/A
N1,1,30,30,4,1067266.1,155.8,183.0,N/A,N/A,N/A,N/A,N/A
N1,1,30,30,5,1067445.7,155.6,182.7,N/A,N/A,N/A,N/A,N/A
N2,2,30,60,1,1203854.9,128.9,155.9,N/A,N/A,N/A,N/A,N/A
N2,2,30,60,2,1202672.6,129.0,156.6,N/A,N/A,N/A,N/A,N/A
N2,2,30,60,3,1203039.8,129.0,157.2,N/A,N/A,N/A,N/A,N/A
N2,2,30,60,4,1201534.1,129.0,155.5,N/A,N/A,N/A,N/A,N/A
N2,2,30,60,5,1201040.0,129.0,156.4,N/A,N/A,N/A,N/A,N/A
N3,3,30,90,1,1198249.5,130.4,160.0,N/A,N/A,N/A,N/A,N/A
N3,3,30,90,2,1198580.6,129.8,157.5,N/A,N/A,N/A,N/A,N/A
N3,3,30,90,3,1198044.5,130.1,158.5,N/A,N/A,N/A,N/A,N/A
N3,3,30,90,4,1196586.5,130.8,159.6,N/A,N/A,N/A,N/A,N/A
N3,3,30,90,5,1196475.6,130.4,159.5,N/A,N/A,N/A,N/A,N/A
N4,4,30,120,1,1239087.0,127.8,152.0,N/A,N/A,N/A,N/A,N/A
N4,4,30,120,2,1240542.2,127.8,151.2,N/A,N/A,N/A,N/A,N/A
N4,4,30,120,3,1239823.8,127.9,152.7,N/A,N/A,N/A,N/A,N/A
N4,4,30,120,4,1240012.2,127.7,151.1,N/A,N/A,N/A,N/A,N/A
N4,4,30,120,5,1240259.4,127.7,151.0,N/A,N/A,N/A,N/A,N/A
N5,5,30,150,1,1239511.5,127.2,152.0,N/A,N/A,N/A,N/A,N/A
N5,5,30,150,2,1238826.3,127.1,151.6,N/A,N/A,N/A,N/A,N/A
N5,5,30,150,3,1238870.7,127.1,151.4,N/A,N/A,N/A,N/A,N/A
N5,5,30,150,4,1239257.1,127.2,151.7,N/A,N/A,N/A,N/A,N/A
N5,5,30,150,5,1238493.3,127.1,151.2,N/A,N/A,N/A,N/A,N/A
N6,6,30,180,1,1254633.5,125.8,146.8,N/A,N/A,N/A,N/A,N/A
N6,6,30,180,2,1254255.2,126.0,147.3,N/A,N/A,N/A,N/A,N/A
N6,6,30,180,3,1253458.6,126.0,146.7,N/A,N/A,N/A,N/A,N/A
N6,6,30,180,4,1255348.5,126.1,148.0,N/A,N/A,N/A,N/A,N/A
N6,6,30,180,5,1257498.9,125.7,145.7,N/A,N/A,N/A,N/A,N/A
N7,7,30,210,1,1282339.8,120.0,138.8,N/A,N/A,N/A,N/A,N/A
N7,7,30,210,2,1280851.1,120.7,139.9,N/A,N/A,N/A,N/A,N/A
N7,7,30,210,3,1281574.9,120.0,139.3,N/A,N/A,N/A,N/A,N/A
N7,7,30,210,4,1283951.9,119.3,138.6,N/A,N/A,N/A,N/A,N/A
N7,7,30,210,5,1282906.6,119.8,139.4,N/A,N/A,N/A,N/A,N/A
N8,8,30,240,1,1288261.6,120.4,137.4,N/A,N/A,N/A,N/A,N/A
N8,8,30,240,2,1288634.4,120.3,138.6,N/A,N/A,N/A,N/A,N/A
N8,8,30,240,3,1288777.9,119.8,136.5,N/A,N/A,N/A,N/A,N/A
N8,8,30,240,4,1288624.1,120.6,138.1,N/A,N/A,N/A,N/A,N/A
N8,8,30,240,5,1289209.9,120.5,139.4,N/A,N/A,N/A,N/A,N/A
N9,9,30,270,1,1300489.4,117.3,129.5,N/A,N/A,N/A,N/A,N/A
N9,9,30,270,2,1301005.1,117.2,128.9,N/A,N/A,N/A,N/A,N/A
N9,9,30,270,3,1300510.9,117.2,128.9,N/A,N/A,N/A,N/A,N/A
N9,9,30,270,4,1298405.3,117.3,129.1,N/A,N/A,N/A,N/A,N/A
N9,9,30,270,5,1298867.4,117.3,132.0,N/A,N/A,N/A,N/A,N/A
N10,10,30,300,1,1296862.9,118.0,131.5,N/A,N/A,N/A,N/A,N/A
N10,10,30,300,2,1297291.8,117.6,129.6,N/A,N/A,N/A,N/A,N/A
N10,10,30,300,3,1297280.3,118.1,132.8,N/A,N/A,N/A,N/A,N/A
N10,10,30,300,4,1296978.4,118.3,133.4,N/A,N/A,N/A,N/A,N/A
N10,10,30,300,5,1296574.3,118.4,133.5,N/A,N/A,N/A,N/A,N/A
N15,15,30,450,1,1274786.8,124.4,135.5,N/A,N/A,N/A,N/A,N/A
N15,15,30,450,2,1274693.5,124.3,134.8,N/A,N/A,N/A,N/A,N/A
N15,15,30,450,3,1274750.7,124.2,134.7,N/A,N/A,N/A,N/A,N/A
N15,15,30,450,4,1275839.0,124.2,134.9,N/A,N/A,N/A,N/A,N/A
N15,15,30,450,5,1275668.7,124.3,135.7,N/A,N/A,N/A,N/A,N/A
N20,20,30,600,1,1308811.3,125.6,139.8,N/A,N/A,N/A,N/A,N/A
N20,20,30,600,2,1309755.6,125.6,139.9,N/A,N/A,N/A,N/A,N/A
N20,20,30,600,3,1311203.2,125.3,139.2,N/A,N/A,N/A,N/A,N/A
N20,20,30,600,4,1312172.3,125.3,138.9,N/A,N/A,N/A,N/A,N/A
N20,20,30,600,5,1310748.9,125.5,139.7,N/A,N/A,N/A,N/A,N/A
N25,25,30,750,1,1313637.2,124.8,138.4,N/A,N/A,N/A,N/A,N/A
N25,25,30,750,2,1313316.5,125.0,139.0,N/A,N/A,N/A,N/A,N/A
N25,25,30,750,3,1313994.1,124.9,138.7,N/A,N/A,N/A,N/A,N/A
N25,25,30,750,4,1314659.2,124.6,137.4,N/A,N/A,N/A,N/A,N/A
N25,25,30,750,5,1312540.8,125.1,139.1,N/A,N/A,N/A,N/A,N/A
N30,30,30,900,1,1311018.0,124.8,138.7,N/A,N/A,N/A,N/A,N/A
N30,30,30,900,2,1309346.5,124.9,139.0,N/A,N/A,N/A,N/A,N/A
N30,30,30,900,3,1309412.7,125.0,139.1,N/A,N/A,N/A,N/A,N/A
N30,30,30,900,4,1310039.0,124.9,139.4,N/A,N/A,N/A,N/A,N/A
N30,30,30,900,5,1310362.4,124.8,138.4,N/A,N/A,N/A,N/A,N/A
N35,35,30,1050,1,1295698.6,127.4,142.1,N/A,N/A,N/A,N/A,N/A
N35,35,30,1050,2,1295971.5,127.4,142.5,N/A,N/A,N/A,N/A,N/A
N35,35,30,1050,3,1295264.3,127.5,143.0,N/A,N/A,N/A,N/A,N/A
N35,35,30,1050,4,1295610.2,127.4,143.5,N/A,N/A,N/A,N/A,N/A
N35,35,30,1050,5,1296353.1,127.3,142.1,N/A,N/A,N/A,N/A,N/A
N40,40,30,1200,1,1270051.1,133.0,153.5,N/A,N/A,N/A,N/A,N/A
