label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
master,master,30,0,1,883955.7,143.5,206.3,145.9,207.8
master,master,30,0,2,884517.2,143.5,206.2,145.8,207.7
master,master,30,0,3,885622.9,143.3,205.7,145.6,207.3
master,master,30,0,4,884234.4,143.5,206.6,145.9,208.5
master,master,30,0,5,885266.3,143.3,205.8,145.7,207.4
master,master,30,0,6,885373.2,143.3,206.2,145.6,207.8
master,master,30,0,7,884684.6,143.4,206.3,145.8,207.8
master,master,30,0,8,884055.7,143.6,205.4,145.8,207.0
master,master,30,0,9,885266.4,143.3,206.3,145.7,207.8
master,master,30,0,10,885110.6,143.3,206.4,145.7,207.9
master,master,30,0,11,885222.9,143.3,206.0,145.7,207.6
master,master,30,0,12,884506.9,143.4,206.1,145.8,207.7
master,master,30,0,13,883944.5,143.6,206.2,145.9,207.7
master,master,30,0,14,883683.6,143.6,206.7,145.9,208.8
master,master,30,0,15,886106.8,143.2,206.1,145.5,207.6
master,master,30,0,16,884869.3,143.4,206.2,145.7,207.7
master,master,30,0,17,884965.6,143.4,206.5,145.7,208.0
master,master,30,0,18,884671.2,143.4,206.3,145.8,207.8
master,master,30,0,19,884591.4,143.5,205.8,145.8,207.4
master,master,30,0,20,883837.9,143.5,206.6,145.9,208.7
N0,0,30,0,1,1078804.4,117.9,166.6,119.3,168.2
N0,0,30,0,2,1078238.2,117.9,166.6,119.3,168.2
N0,0,30,0,3,1078612.9,117.9,166.1,119.2,167.8
N0,0,30,0,4,1078006.4,118.0,166.3,119.3,167.9
N0,0,30,0,5,1078818.3,117.9,166.1,119.2,167.8
N0,0,30,0,6,1078117.2,117.9,166.6,119.3,168.2
N0,0,30,0,7,1077485.7,118.0,166.9,119.4,168.5
N0,0,30,0,8,1081299.5,117.7,162.5,118.9,164.7
N0,0,30,0,9,1078341.6,117.9,166.2,119.3,167.8
N0,0,30,0,10,1078540.8,117.9,166.6,119.3,168.2
N0,0,30,0,11,1078171.1,117.9,166.7,119.3,168.3
N0,0,30,0,12,1080660.7,117.7,165.8,119.0,167.5
N0,0,30,0,13,1079427.5,117.8,166.2,119.2,167.8
N0,0,30,0,14,1079249.4,117.8,166.3,119.2,167.9
N0,0,30,0,15,1081913.6,117.6,164.5,118.8,166.4
N0,0,30,0,16,1080105.4,117.7,166.1,119.1,167.8
N0,0,30,0,17,1079747.8,117.8,165.2,119.1,166.9
N0,0,30,0,18,1078801.8,117.9,166.6,119.3,168.2
N0,0,30,0,19,1082553.1,117.6,161.4,118.7,163.7
N0,0,30,0,20,1078474.5,117.9,166.5,119.3,168.1
N1,1,30,30,1,1025684.6,123.9,173.0,125.5,176.2
N1,1,30,30,2,1025843.4,123.9,172.7,125.4,176.0
N1,1,30,30,3,1028109.2,123.8,170.0,125.0,170.9
N1,1,30,30,4,1027029.4,123.8,172.0,125.3,175.5
N1,1,30,30,5,1027289.1,123.8,171.6,125.3,174.6
N1,1,30,30,6,1026555.2,123.8,171.8,125.4,175.2
N1,1,30,30,7,1026544.3,123.8,171.7,125.4,175.0
N1,1,30,30,8,1026540.7,123.8,171.7,125.4,174.8
N1,1,30,30,9,1025695.8,123.9,171.7,125.5,174.7
N1,1,30,30,10,1026184.0,123.9,171.8,125.4,175.2
N1,1,30,30,11,1026103.1,123.9,171.6,125.4,174.4
N1,1,30,30,12,1026680.6,123.8,172.4,125.4,175.8
N1,1,30,30,13,1026818.8,123.8,171.8,125.3,175.2
N1,1,30,30,14,1026107.6,123.9,171.4,125.4,173.7
N1,1,30,30,15,1026893.9,123.8,172.1,125.3,175.5
N1,1,30,30,16,1026738.2,123.8,171.9,125.3,175.4
N1,1,30,30,17,1027446.1,123.7,172.0,125.3,175.5
N1,1,30,30,18,1027389.7,123.7,172.6,125.3,176.0
N1,1,30,30,19,1026893.1,123.8,171.8,125.3,175.0
N1,1,30,30,20,1026434.7,123.8,172.4,125.4,175.8
N2,2,30,60,1,1153638.4,110.3,149.0,111.4,150.8
N2,2,30,60,2,1152938.8,110.3,149.9,111.6,151.6
N2,2,30,60,3,1152833.7,110.3,150.0,111.6,151.6
N2,2,30,60,4,1154564.1,110.1,149.7,111.4,151.4
N2,2,30,60,5,1152683.0,110.3,150.1,111.6,151.6
N2,2,30,60,6,1153437.8,110.3,149.5,111.5,151.2
N2,2,30,60,7,1154332.7,110.2,149.4,111.4,151.2
N2,2,30,60,8,1152171.8,110.4,150.3,111.6,151.9
N2,2,30,60,9,1153912.9,110.2,149.5,111.5,151.3
N2,2,30,60,10,1153283.3,110.3,149.9,111.5,151.6
N2,2,30,60,11,1153094.3,110.3,149.8,111.5,151.5
N2,2,30,60,12,1152030.9,110.4,150.4,111.7,152.0
N2,2,30,60,13,1151933.7,110.4,150.4,111.7,152.0
N2,2,30,60,14,1152453.3,110.4,150.1,111.6,151.7
N2,2,30,60,15,1152254.6,110.4,150.0,111.6,151.6
N2,2,30,60,16,1151241.2,110.5,150.3,111.7,151.9
N2,2,30,60,17,1153766.9,110.2,149.7,111.5,151.4
N2,2,30,60,18,1160868.6,109.6,145.8,110.7,148.1
N2,2,30,60,19,1157321.3,109.9,149.2,111.1,151.0
N2,2,30,60,20,1157486.4,109.9,148.9,111.1,150.8
N3,3,30,90,1,1145030.4,111.1,150.1,112.3,151.8
N3,3,30,90,2,1144930.9,111.1,150.4,112.3,152.0
N3,3,30,90,3,1143933.0,111.1,150.7,112.5,152.3
N3,3,30,90,4,1143726.9,111.2,150.8,112.5,152.4
N3,3,30,90,5,1147067.9,110.9,149.0,112.1,150.8
N3,3,30,90,6,1142889.6,111.2,151.0,112.6,152.5
N3,3,30,90,7,1143351.0,111.2,150.9,112.5,152.4
N3,3,30,90,8,1144548.9,111.1,150.7,112.4,152.2
N3,3,30,90,9,1143801.8,111.2,150.2,112.4,151.8
N3,3,30,90,10,1143614.5,111.2,150.6,112.5,152.1
N3,3,30,90,11,1142743.6,111.3,150.1,112.5,151.8
N3,3,30,90,12,1143665.1,111.2,150.0,112.4,151.6
N3,3,30,90,13,1149316.0,110.7,148.1,111.8,150.0
N3,3,30,90,14,1150315.8,110.6,147.8,111.8,149.9
N3,3,30,90,15,1151430.1,110.5,147.2,111.6,149.3
N3,3,30,90,16,1148129.5,110.8,149.6,112.0,151.3
N3,3,30,90,17,1147554.6,110.8,149.7,112.1,151.4
N3,3,30,90,18,1147053.2,110.9,150.2,112.1,151.8
N3,3,30,90,19,1149601.9,110.7,147.5,111.8,149.4
N3,3,30,90,20,1147402.8,110.8,149.7,112.1,151.5
N4,4,30,120,1,1104221.5,115.1,152.6,116.5,153.9
N4,4,30,120,2,1103405.9,115.2,152.6,116.6,153.9
N4,4,30,120,3,1104602.2,115.1,152.6,116.5,153.8
N4,4,30,120,4,1104108.5,115.1,153.2,116.6,154.4
N4,4,30,120,5,1104727.2,115.0,153.1,116.5,154.3
N4,4,30,120,6,1105507.1,115.0,152.7,116.4,154.0
N4,4,30,120,7,1105387.0,115.0,152.6,116.4,153.9
N4,4,30,120,8,1104242.9,115.1,153.0,116.6,154.2
N4,4,30,120,9,1106669.9,114.8,152.7,116.3,154.0
N4,4,30,120,10,1106202.8,114.9,151.9,116.3,153.3
N4,4,30,120,11,1104199.3,115.1,153.1,116.6,154.3
N4,4,30,120,12,1105822.9,114.9,152.6,116.4,153.9
N4,4,30,120,13,1105137.4,115.0,152.9,116.5,154.2
N4,4,30,120,14,1104295.1,115.1,152.7,116.5,153.9
N4,4,30,120,15,1104752.7,115.0,152.9,116.5,154.1
N4,4,30,120,16,1102546.3,115.3,152.9,116.7,154.1
N4,4,30,120,17,1102747.3,115.3,153.1,116.7,154.3
N4,4,30,120,18,1101649.4,115.4,153.1,116.8,154.3
N4,4,30,120,19,1102034.6,115.3,153.1,116.8,154.3
N4,4,30,120,20,1103958.0,115.2,152.4,116.6,153.7
N5,5,30,150,1,1132607.1,112.3,146.0,113.6,148.5
N5,5,30,150,2,1132664.9,112.3,146.6,113.6,149.0
N5,5,30,150,3,1130906.6,112.4,147.3,113.8,149.6
N5,5,30,150,4,1133853.3,112.2,144.6,113.4,147.3
N5,5,30,150,5,1131220.5,112.4,147.8,113.8,150.0
N5,5,30,150,6,1134135.4,112.1,146.2,113.4,148.7
N5,5,30,150,7,1133392.6,112.2,146.6,113.5,149.0
N5,5,30,150,8,1134499.2,112.1,146.7,113.4,149.1
N5,5,30,150,9,1131707.8,112.3,147.7,113.7,149.8
N5,5,30,150,10,1132783.6,112.2,146.1,113.6,148.6
N5,5,30,150,11,1133094.1,112.2,146.3,113.5,148.8
N5,5,30,150,12,1132409.6,112.2,147.6,113.6,149.8
N5,5,30,150,13,1132417.3,112.3,146.5,113.6,148.9
N5,5,30,150,14,1131982.5,112.3,147.3,113.7,149.5
N5,5,30,150,15,1131574.6,112.3,147.7,113.7,149.9
N5,5,30,150,16,1135554.1,111.9,146.5,113.3,148.9
N5,5,30,150,17,1134638.5,112.1,145.0,113.3,147.5
N5,5,30,150,18,1134812.7,112.0,146.3,113.4,148.8
N5,5,30,150,19,1137475.5,111.8,144.6,113.1,147.2
N5,5,30,150,20,1134065.3,112.1,146.1,113.4,148.5
N6,6,30,180,1,1148837.3,110.7,141.8,112.0,144.2
N6,6,30,180,2,1147601.2,110.8,142.0,112.1,145.3
N6,6,30,180,3,1147246.3,110.8,142.5,112.2,145.7
N6,6,30,180,4,1149209.7,110.6,142.0,112.0,145.2
N6,6,30,180,5,1148096.1,110.7,142.4,112.1,145.7
N6,6,30,180,6,1147199.3,110.8,143.0,112.2,146.2
N6,6,30,180,7,1149942.9,110.6,141.8,111.9,144.4
N6,6,30,180,8,1148119.8,110.7,143.1,112.1,146.2
N6,6,30,180,9,1147999.1,110.7,143.1,112.1,146.2
N6,6,30,180,10,1150273.6,110.5,142.3,111.9,145.6
N6,6,30,180,11,1150303.4,110.5,141.8,111.8,144.3
N6,6,30,180,12,1146179.5,110.9,143.5,112.3,146.6
N6,6,30,180,13,1146711.5,110.8,142.7,112.2,145.9
N6,6,30,180,14,1147079.6,110.8,143.1,112.2,146.3
N6,6,30,180,15,1147025.1,110.8,143.1,112.2,146.2
N6,6,30,180,16,1148177.2,110.7,142.0,112.0,145.0
N6,6,30,180,17,1146534.0,110.9,142.8,112.2,146.1
N6,6,30,180,18,1147895.4,110.8,142.0,112.1,145.0
N6,6,30,180,19,1147727.5,110.7,142.4,112.1,145.7
N6,6,30,180,20,1147330.2,110.8,141.9,112.1,144.8
N7,7,30,210,1,1212137.5,104.9,136.8,106.1,138.4
N7,7,30,210,2,1213346.2,104.8,136.4,106.0,138.0
N7,7,30,210,3,1214075.2,104.7,136.3,105.9,137.9
N7,7,30,210,4,1213077.3,104.8,136.6,106.1,138.3
N7,7,30,210,5,1212205.6,104.9,136.3,106.1,138.0
N7,7,30,210,6,1212757.3,104.9,136.3,106.1,138.0
N7,7,30,210,7,1213521.1,104.8,136.3,106.0,138.0
N7,7,30,210,8,1212764.6,104.9,136.2,106.0,137.8
N7,7,30,210,9,1212130.2,104.9,136.8,106.1,138.4
N7,7,30,210,10,1212842.1,104.8,136.5,106.1,138.1
N7,7,30,210,11,1218003.0,104.6,133.8,105.4,135.6
N7,7,30,210,12,1211391.6,105.0,136.7,106.2,138.3
N7,7,30,210,13,1213432.3,104.8,135.9,106.0,137.6
N7,7,30,210,14,1211983.2,104.9,136.7,106.1,138.4
N7,7,30,210,15,1211858.4,104.9,136.8,106.1,138.4
N7,7,30,210,16,1213439.4,104.8,136.4,106.0,138.0
N7,7,30,210,17,1210846.3,105.0,136.7,106.2,138.3
N7,7,30,210,18,1211319.3,105.0,136.3,106.1,137.9
N7,7,30,210,19,1210885.4,105.0,136.8,106.2,138.4
N7,7,30,210,20,1212106.0,104.9,136.7,106.1,138.3
N8,8,30,240,1,1146848.2,110.8,142.0,112.2,145.5
N8,8,30,240,2,1147916.9,110.7,142.0,112.1,145.2
N8,8,30,240,3,1147684.7,110.9,141.7,112.0,143.1
N8,8,30,240,4,1146567.4,110.9,142.0,112.2,144.9
N8,8,30,240,5,1148137.2,110.7,142.0,112.1,145.3
N8,8,30,240,6,1147638.2,110.8,141.8,112.1,144.6
N8,8,30,240,7,1147947.1,110.7,142.0,112.1,145.1
N8,8,30,240,8,1147194.8,110.8,141.9,112.2,144.9
N8,8,30,240,9,1148037.7,110.7,142.0,112.1,145.2
N8,8,30,240,10,1149064.3,110.6,141.6,112.0,143.2
N8,8,30,240,11,1148171.4,110.7,141.7,112.0,143.6
N8,8,30,240,12,1149913.1,110.6,141.5,111.8,142.5
N8,8,30,240,13,1146152.0,110.9,141.9,112.2,144.4
N8,8,30,240,14,1146307.4,110.9,142.0,112.3,145.4
N8,8,30,240,15,1160771.3,109.9,139.9,110.5,140.5
N8,8,30,240,16,1147973.8,110.7,142.0,112.1,145.3
N8,8,30,240,17,1149486.6,110.6,141.8,111.9,144.0
N8,8,30,240,18,1149355.4,110.6,141.7,111.9,143.5
N8,8,30,240,19,1146204.7,110.9,141.9,112.2,144.6
N8,8,30,240,20,1146208.3,110.9,142.0,112.2,145.1
N9,9,30,270,1,1167582.5,108.9,140.1,110.2,141.0
N9,9,30,270,2,1168315.7,108.8,140.2,110.1,141.1
N9,9,30,270,3,1167541.4,108.9,140.2,110.2,141.1
N9,9,30,270,4,1166459.5,109.0,140.5,110.3,141.3
N9,9,30,270,5,1169020.5,108.8,139.7,110.0,140.6
N9,9,30,270,6,1170875.8,108.6,139.9,109.9,140.9
N9,9,30,270,7,1169347.0,108.8,139.8,110.0,140.7
N9,9,30,270,8,1168266.0,108.8,140.2,110.1,141.1
N9,9,30,270,9,1169662.6,108.8,139.6,109.9,140.6
N9,9,30,270,10,1169451.0,108.7,140.0,110.0,141.0
N9,9,30,270,11,1168888.5,108.9,139.7,110.0,140.6
N9,9,30,270,12,1167650.1,108.9,140.2,110.2,141.1
N9,9,30,270,13,1169444.8,108.7,139.9,110.0,140.8
N9,9,30,270,14,1168772.1,108.8,140.2,110.1,141.1
N9,9,30,270,15,1170704.2,108.6,139.8,109.9,140.7
N9,9,30,270,16,1168509.5,108.8,139.9,110.1,140.8
N9,9,30,270,17,1167556.4,108.9,140.3,110.2,141.2
N9,9,30,270,18,1168230.1,108.8,140.2,110.1,141.1
N9,9,30,270,19,1168080.2,108.9,140.0,110.1,140.9
N9,9,30,270,20,1168465.8,108.8,139.7,110.1,140.7
N10,10,30,300,1,1193119.8,106.6,135.8,107.8,137.6
N10,10,30,300,2,1195145.8,106.3,135.8,107.7,137.7
N10,10,30,300,3,1193874.0,106.5,136.0,107.8,137.9
N10,10,30,300,4,1195072.7,106.4,135.1,107.6,137.1
N10,10,30,300,5,1192871.8,106.6,136.2,107.8,138.0
N10,10,30,300,6,1192999.4,106.5,136.3,107.9,138.1
N10,10,30,300,7,1195166.5,106.4,135.0,107.5,137.0
N10,10,30,300,8,1193470.7,106.5,136.2,107.8,138.1
N10,10,30,300,9,1192465.6,106.6,136.3,107.9,138.1
N10,10,30,300,10,1192044.5,106.6,136.5,108.0,138.2
N10,10,30,300,11,1193850.2,106.5,135.5,107.7,137.4
