condition,n_samples,tsc_mhz,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,max_us
N0,8388608,2400.0,0.0642,0.1333,0.1608,0.2558,0.4617,1.0592,1.5333,2.5283,4.0008,91.7692
N25,8388608,2400.0,0.0633,0.1000,0.1325,0.2367,0.5108,0.8917,1.2050,2.1133,3.4233,27.9217
N50,8388608,2400.0,0.0625,0.0983,0.1358,0.2792,0.5325,1.0050,1.3017,2.2583,3.6778,15.4050
N100,8388608,2400.0,0.0625,0.0833,0.1342,0.2992,0.5542,1.0275,1.5158,2.4408,4.0542,18.2225
N200,8388608,2400.0,0.0633,0.0767,0.1317,0.3083,0.5542,1.0925,1.7992,3.7458,5.0708,13.8392
