label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_p99_us,r_p999_us,cache_misses,LLC_load_misses,demand_rfo,cache_references,llc_miss_rate_pct
master,master,30,0,1,721820.8,304.2,369.4,1071911,53206,1087828999,3833236278,0.0280
master,master,30,0,2,720811.2,304.0,368.8,1127184,48322,1080470201,3895818645,0.0289
master,master,30,0,3,721809.3,303.9,368.4,1229991,71689,1088456944,3831498983,0.0321
master,master,30,0,4,720794.9,304.3,371.9,1448271,130630,1085350827,3854776423,0.0376
master,master,30,0,5,722594.0,303.2,368.3,1534549,133887,1093423299,3837190431,0.0400
master,master,30,0,6,722061.6,303.7,368.2,1537612,131537,1092014154,3839068716,0.0401
master,master,30,0,7,721108.8,304.4,371.2,1413351,128134,1094291894,3819175552,0.0370
master,master,30,0,8,722236.4,303.7,369.2,1457000,132157,1091207769,3872871059,0.0376
master,master,30,0,9,720684.8,305.1,372.7,1039826,46038,1075848516,3891658043,0.0267
master,master,30,0,10,720718.2,303.7,368.3,1103422,49191,1084109709,3859821293,0.0286
N0,0,30,0,1,904373.5,225.4,275.6,2246780,127187,1702805748,6303521511,0.0356
N0,0,30,0,2,905112.4,224.7,274.5,2789501,210224,1706159071,6273912953,0.0445
N0,0,30,0,3,904978.6,225.5,275.8,2529731,198375,1702569496,6287683117,0.0402
N0,0,30,0,4,904704.5,225.3,274.2,2508128,182108,1693012880,6287422030,0.0399
N0,0,30,0,5,904419.3,224.9,274.6,2704380,204712,1700760301,6309534825,0.0429
N0,0,30,0,6,904458.4,224.4,274.9,2909914,214047,1697399638,6313901721,0.0461
N0,0,30,0,7,904705.6,224.8,274.2,2777564,204990,1702534106,6288281049,0.0442
N0,0,30,0,8,903688.9,225.7,275.1,2574408,204036,1688976915,6310871688,0.0408
N0,0,30,0,9,903715.2,225.1,274.9,3082284,242961,1700530613,6328249401,0.0487
N0,0,30,0,10,904602.6,225.0,275.4,3097832,240349,1705988227,6313264927,0.0491
N1,1,30,30,1,905987.5,200.5,248.3,2272490,215201,1887213380,6947622477,0.0327
N1,1,30,30,2,904354.3,200.7,248.3,2342657,221772,1882845225,6999852108,0.0335
N1,1,30,30,3,905012.5,200.4,247.4,2281023,223581,1894367963,6963731045,0.0328
N1,1,30,30,4,905180.9,200.2,248.1,2469899,231141,1889911655,6996881825,0.0353
N1,1,30,30,5,904227.4,201.7,249.2,1934703,156927,1879770876,7019932163,0.0276
N1,1,30,30,6,905127.5,200.2,246.8,1618983,83676,1891921389,7016057092,0.0231
N1,1,30,30,7,906950.7,197.8,245.5,2423267,118000,1889408908,6996822631,0.0346
N1,1,30,30,8,904502.7,200.9,247.5,2257723,216706,1894751011,6999086976,0.0323
N1,1,30,30,9,905352.9,201.0,248.1,1713054,122158,1893075920,6960797547,0.0246
N1,1,30,30,10,904552.9,200.2,247.9,1628366,90332,1893269881,7003089691,0.0233
N2,2,30,60,1,978797.1,181.4,228.8,2238980,118764,1888409528,7060119360,0.0317
N2,2,30,60,2,976852.8,182.4,230.9,2372996,125072,1878829303,7117435905,0.0333
N2,2,30,60,3,980400.0,180.9,228.3,2398447,131281,1895214713,7106022673,0.0338
N2,2,30,60,4,978217.3,181.1,227.9,2364056,124470,1877571014,7087613353,0.0334
N2,2,30,60,5,977594.0,182.2,233.1,2376049,125738,1899057484,7103524283,0.0334
N2,2,30,60,6,978699.2,181.7,228.4,2259638,118013,1882933071,7066656430,0.0320
N2,2,30,60,7,976462.4,182.0,231.2,2129164,116271,1885396368,7162730769,0.0297
N2,2,30,60,8,978885.1,181.8,229.2,2273460,123781,1890537481,7066725511,0.0322
N2,2,30,60,9,978793.9,181.6,228.6,2274205,118064,1892237223,7136576638,0.0319
N2,2,30,60,10,978541.3,182.4,229.8,3004213,271268,1890236417,7101449512,0.0423
N3,3,30,90,1,1041084.4,173.3,224.4,3535269,299692,1919528438,7442656624,0.0475
