label,pause_per_round,spin_rounds,total_pause_budget,run,QPS,r_avg_us,r_p99_us,w_avg_us,w_p99_us
master,master,30,0,1,693707.7,182.8,270.8,186.1,273.9
master,master,30,0,2,693332.0,182.9,270.8,186.1,273.8
master,master,30,0,3,694112.4,182.6,272.6,186.0,275.3
master,master,30,0,4,693316.4,182.9,271.1,186.2,274.1
master,master,30,0,5,691584.2,183.3,271.9,186.7,274.8
master,master,30,0,6,691927.8,183.2,272.3,186.6,275.2
master,master,30,0,7,691527.1,183.3,273.4,186.7,276.1
master,master,30,0,8,691576.7,183.3,273.0,186.7,275.7
master,master,30,0,9,691988.7,183.2,273.1,186.5,275.8
master,master,30,0,10,690393.0,183.6,272.2,187.0,275.0
master,master,30,0,11,687404.0,184.4,273.5,187.8,276.0
master,master,30,0,12,687822.3,184.4,272.4,187.6,275.1
master,master,30,0,13,687154.5,184.5,272.8,187.8,275.6
master,master,30,0,14,686978.5,184.5,273.9,187.9,276.5
master,master,30,0,15,679962.5,186.4,275.9,189.8,281.5
master,master,30,0,16,680980.9,186.1,275.2,189.6,279.5
master,master,30,0,17,679750.2,186.5,276.0,189.9,282.0
master,master,30,0,18,674547.7,187.9,277.8,191.4,285.4
master,master,30,0,19,671984.8,188.6,277.9,192.1,285.3
master,master,30,0,20,671092.4,188.9,280.5,192.4,287.2
N0,0,30,0,1,834568.5,152.2,216.4,154.3,219.7
N0,0,30,0,2,836474.9,151.9,215.9,154.0,219.2
N0,0,30,0,3,835095.6,152.1,217.1,154.2,220.2
N0,0,30,0,4,835634.9,152.0,215.8,154.1,219.1
N0,0,30,0,5,839864.3,151.3,215.0,153.3,218.5
N0,0,30,0,6,841050.0,151.1,213.7,153.1,217.4
N0,0,30,0,7,842154.8,150.9,212.7,152.9,216.6
N0,0,30,0,8,841779.9,150.9,213.7,153.0,217.5
N0,0,30,0,9,841672.6,151.0,214.0,153.0,217.6
N0,0,30,0,10,840347.6,151.2,213.2,153.2,217.0
N0,0,30,0,11,842004.9,150.9,214.1,152.9,217.8
N0,0,30,0,12,841475.6,151.0,215.0,153.0,218.5
N0,0,30,0,13,842356.8,150.8,213.3,152.9,217.0
N0,0,30,0,14,841381.0,151.0,214.8,153.1,218.3
N0,0,30,0,15,841491.1,151.0,214.0,153.0,217.6
N0,0,30,0,16,841350.8,151.0,213.7,153.0,217.4
N0,0,30,0,17,840423.7,151.2,214.0,153.2,217.8
N0,0,30,0,18,839638.5,151.3,214.1,153.4,217.8
N0,0,30,0,19,830746.1,152.9,219.7,155.1,222.5
N0,0,30,0,20,825850.1,153.8,221.9,156.0,224.3
N1,1,30,30,1,853277.2,148.8,199.1,151.0,202.0
N1,1,30,30,2,852392.5,148.9,198.5,151.2,201.6
N1,1,30,30,3,851920.7,149.0,198.6,151.2,201.7
N1,1,30,30,4,850879.6,149.2,200.2,151.5,202.9
N1,1,30,30,5,851909.9,149.0,199.4,151.3,202.3
N1,1,30,30,6,851389.8,149.1,199.5,151.4,202.4
N1,1,30,30,7,853022.3,148.8,199.3,151.1,202.2
